rn	type	text
9274	I	<par>Is second syllable <latinform>da</latinform> a perfective Pv?</par>
9290	T	<par>Lalo <latinform>me²¹</latinform> is distinct from the morpheme for &apos;eye&apos;, <latinform>ʔmI̱³³</latinform>.</par>
9310	I	<par>Was tagged 809,809,809,3 (truncated?) in the X field.</par>
9348	T	<par>Literally &quot;breast-head&quot;.</par>
9353	T	<par>Note the similarity between the last two syllables and the Lahu forms <latinform>ɔ̀-ku-câʔ</latinform> &apos;vein, sinew, tendon&apos; and <latinform>ɔ̀-ku-ɔ̀-câʔ</latinform> &apos;every bone in the body&apos;.</par>
9416	T	<par>Lalo <latinform>da⁵⁵</latinform> &apos;stalk&apos;.</par>
9417	I	<par>Third syllable = STRING.</par>
9421	I	<par>M2 =1384 or s</par>
9422	I	<par>M1: 2104? (*wik) M2:315 or 2102?/see NI-VU above?3</par>
9430	I	<par>1384? See below</par>
9431	I	<par>JAM: 227</par>
9432	I	<par>M2: 1390? (or do all these with <latinform>-e/</latinform>etc. come from another Ety. and not 1390: perh. one with an -<latinform>r</latinform>?)</par>
9438	I	"<par>The second syllable means &apos;round object&apos; &lt; <xref ref=""1019"">#1019</xref>.</par>"
9641	I	<par>1384? See below</par>
9644	I	<par>*wu (2123)</par>
9648	I	<par>2104?</par>
9649	I	<par>315 or 2102?</par>
9654	I	<par>M2: 579 or (cf. te)?</par>
9689	I	<par>Decide whether goes with <reconstruction>*tsiŋ</reconstruction> or <reconstruction>*ts(y)ow</reconstruction>.</par>
9689	I	<par>This form seems to be shuttled back and forth between ety 71 and 80.</par>
9691	I	<par>Is 2d syll suffix or e17 (cf. Sani forms)?</par>
9696	T	<par>The syllabic nasals in the Nesu and Noesu compounds are possibly developments from a previous <latinform>w-</latinform> or zero initial. A similar, though opposite development can be seen in the correspondence of Cantonese initial <latinform>ŋ-</latinform> and Mandarin <latinform>w-</latinform> (e.g. Cantonese &apos;five&apos; and 1st.pro vs. Mandarin &apos;five&apos; and 1st.pro).</par>
9697	I	<par>2d syll tagged variously as 387, and as 2005.</par>
9722	T	<par>We are assuming dialectal variation between initial <latinform>l-</latinform> and <latinform>n-</latinform> in Nesu, a phenomenon also characteristic of Southwest Mandarin and other languages in the area.</par>
9849	I	<par>Or 1384?</par>
9851	I	<par>M2: JAM: zi = LIQUID?</par>
9858	I	<par>315 or 2102?</par>
9869	I	"<par>The second element in the Nesu and Noesu compounds &lt; <xref ref=""1013"">#1013</xref>.</par>"
9890	T	<par>Nesu <latinform>ʑʅ²¹</latinform> &apos;water&apos;.</par>
284221	I	<par>The syllabic nasals in the Nesu and Noesu compounds are possibly developments from a previous w‑ or zero initial. A similar, though opposite development can be seen e.g. in the correspondence of Cantonese initial ŋ‑ and Mandarin w‑ (e.g. Cantonese ‘five’ and 1st.pro vs. Mandarin ‘five’ and 1st.pro).</par>
296502	I	<par>Literally &quot;penis-water&quot;.</par>
