rn	type	text
13113	I	<par>2d syl. prob means ‘round’  (cf. STC #143)</par>
13134	I	<par>verify tagging (note unclear --jpe)</par>
13171	I	<par>First syll = 34?</par>
13172	I	<par>M1: should be same Etym. as <latinform>sa</latinform><latinform>? </latinform>M2: See 13062 above.</par>
13186	I	<par>or 1390?<emph>--FROM HERE ONTO p. 16 TOP</emph></par>
13188	T	<par>borrowing &lt; Jingpho.</par>
13189	I	<par>228 or 227? see next Burmese/S + Zaiwa</par>
13190	I	<par>315 or 2103?</par>
13200	I	<par>2nd morpheme cf. Zaiwa</par>
13211	I	<par>cf. Achang <latinform>kɔk³⁵</latinform>.</par>
13225	T	<par>Bola <latinform>ʃă³⁵</latinform> seems to have become a generalized body-part prefix.</par>
13235	I	<par>The first syllable means &apos;fish&apos;.</par>
13277	I	<par>cf. Chinese <latinform>dèmdash iŋ</latinform> ‘bite (siad of mosquitos, bees, etc.)’ .</par>
13338	I	<par>cf. Achang FATTEN.</par>
