rn	type	text
132803	I	<par>251?</par>
132904	I	<par>or 228?</par>
132906	I	<par>1387? 1390,1382?</par>
132907	I	<par>227? or 228??</par>
133028	T	<par>The <latinform>-k</latinform> is a secondary development &lt;<reconstruction>*-t</reconstruction>.</par>
133681	T	<par>Mpi has two allofamic reflexes, one with palatal <latinform>ɲ-</latinform> and one with <latinform>h-</latinform>. The palatal (rather than velar) nasal is explicable in terms of the following high vowel, while the variation in initials reflects alternate simplifications of the complex initial <latinform>*ʔŋ-</latinform>.</par>
134164	I	<par>RICE + HUNGRY. Or is it two versions of the same morph?</par>
134250	I	<par>Elements of compound reversed.</par>
134854	T	<par>The final <latinform>-l</latinform> in this form is a tone mark.</par>
134877	I	<par><emph>ba</emph></par>
134881	I	<par>what?</par>
134985	I	<par>final <latinform>-q</latinform> is a laryng. vowel, not a tone mark. This form marked “*3” in blue n.b.</par>
134997	I	<par>2nd morpheme? PL: <latinform>sha˯ ji²</latinform> 1. meat, 2. game animal, 3. muscle; p.411.</par>
134998	I	<par>same note as 134997.</par>
135429	T	<par>Hani final <latinform>-q</latinform> and <latinform>-l</latinform> are tone marks.</par>
135506	T	"<par>The many binomes <xref ref=""385"">#385</xref> + <xref ref=""1223"">#1223</xref> demonstrate the distinctiveness of the two etyma.</par>"
135638	I	<par>the final -l is not a segmental phoneme, but a tonemark.,ie., nothing to do with the final in <reconstruction>*s/r-nil </reconstruction>&apos;gums&apos;.</par>
135638	T	<par>Hani final <latinform>-l</latinform> is a tonemark.</par>
136021	I	<par>In Paul Lewis&apos; notation this would be <latinform>daw˯ dah˯</latinform>. We know that <reconstruction>*-aŋ</reconstruction> &gt; Ak. <latinform>-ɔ</latinform> (PL -aw). But does <reconstruction>*-uŋ</reconstruction> &gt; Ak. <latinform>-aŋ</latinform> (PL -ah) ? Compare the Sangkong form <latinform>toŋ³¹ taŋ⁵⁵</latinform> (150085) which reflects the same two roots in reverse order.</par>
136024	I	<par>2d syll. was tagged with now-defunct #1106 <latinform>mak</latinform> BACK/LOINS/BODY/CORPSE.</par>
136118	I	<par>M2 all this gp: 1384 or s? (1384 because of <latinform>maq</latinform>?)</par>
136120	I	<par><emph>ba </emph>Division (bbao-ma)?</par>
136121	I	<par><emph>ba</emph></par>
136123	I	<par>BP pfx? or reduced from bø? M2: or 164?</par>
136169	I	<par>Which syll. belongs here?</par>
136169	T	<par>*-<latinform>raŋ</latinform></par>
136317	I	<par>1321? 228 or 181/229?</par>
136318	I	<par>1321? 228 or 181/229?</par>
136319	I	<par>division?</par>
136321	I	<par>1390,1387? 1382?</par>
136322	I	<par>1390? 227? (or 228??)</par>
136388	I	<par>1384? See below</par>
136389	I	<par>1384? See below</par>
136390	I	<par>1384? See below</par>
136391	I	<par>1384? See below</par>
136392	I	<par>1384? See below</par>
136393	I	<par>1384? See below</par>
136626	T	<par>Hani <latinform>-l</latinform> is a tonemark.</par>
137017	I	<par>M2: or 1390?= but prob. not: which makes me want to rethink ALL these 190s. (I did). Or should M2=M2 for all?</par>
137019	I	<par>229/181? (ADD <latinform>-k</latinform> to 229??)</par>
137538	T	<par>Akha <latinform>xha</latinform> &apos;animal&apos;.</par>
137539	T	<par>Hani final <latinform>-v</latinform> is a tonemark in this transcription.</par>
137767	I	<par>Check last syllable.</par>
150046	T	<par>Maran notes “from archaic sam-bang.”  Tones from Maran.</par>
150047	T	<par>Judson p. 405 glosses as ‘hair of head’; Hanson cites (p.581) but gives no gloss.</par>
