rn	type	text
20639	I	<par><latinform>pə</latinform>: cf. ba above <emph>ADD DIVISION TO DBASE</emph></par>
20646	I	<par>from *mul or *r-maw?</par>
20713	I	<par>Loan from Indic, cf. *sūṅkara.</par>
20923	I	<par>second syllable = “give” ?</par>
20978	I	<par>how was this tagged before?</par>
20978	I	<par>1st syl = SLEEP.</par>
20995	I	<par>check gloss.</par>
21021	T	<par>Manang retroflex suggests a formerly complex initial.</par>
21060	I	<par>Retroflex initial suggests a complex C<sub>i</sub>.</par>
21192	I	<par><latinform>kyə</latinform> = <latinform>kep</latinform> = <latinform>kya</latinform> = <latinform>kjo</latinform> below: 92?</par>
21194	I	<par>correct analysis?</par>
21249	T	<par>The Manang forms are from Nepali <latinform>kaŋkāi</latinform></par>
