rn	type	text
29099	T	<par>French 1983, p. 497.</par>
29100	I	<par>WTF-PNN 497.</par>
29101	I	<par>WTF-PNN 497.</par>
29102	I	<par>WTF-PNN 497.</par>
29103	I	<par>WTF-PNN 497.</par>
29162	I	<par>This form not from GSTC!</par>
29221	I	<par>also <latinform>cha-ŋat</latinform>.</par>
29355	T	<par>Lahu <latinform>qhɛ̀ʔ</latinform> &apos;to be notched&apos;; probably so called because of the notched appearance of the corona glandis.</par>
29446	I	<par>Was tagged with now-defunct #620* [sic] <latinform>lay</latinform> TONGUE.</par>
29557	T	<par>The sibilant prefix might be a reduction of PTB <reconstruction>*sya</reconstruction> &apos;flesh; animal&apos;. This prefix occurs productively with body parts in a number of other TB languages (e.g. Nung <latinform>sərö</latinform> &apos;bone&apos;, WT <latinform>skra</latinform> &apos;hair&apos;, Dimasa <latinform>salai</latinform> &apos;tongue&apos;, WT <latinform>snabs</latinform> &apos;snot&apos;, etc.).</par>
29559	T	"<par>The <latinform>lt-</latinform> cluster in the WT form looks like a metathesized version of the <latinform>tl-</latinform> cluster found in Kham, Bantawa, Lakher (Mara), and Miju (<xref ref=""517"">#517</xref>), further justifying the treatment of <reconstruction>*s-lay</reconstruction> and <reconstruction>*s-tay</reconstruction> as co-allofams of the same etymon.</par>"
29562	T	<par>For now we are including this Abor-Miri form for &apos;self&apos; with zero-initial in this set, along with several zero-initial forms meaning &apos;I/me&apos; from Naga languages. One can imagine a scenario whereby the <reconstruction>*s-l</reconstruction> cluster became a voiceless lateral <reconstruction>*hl-</reconstruction>, thence a plain <reconstruction>*h-</reconstruction>, then zero. (Such was the fate, e.g. of the voiceless PLB resonants <reconstruction>*hl-</reconstruction>, <reconstruction>*hr-</reconstruction>, <reconstruction>*hy-</reconstruction>, which all became <latinform>h-</latinform> in Lahu. Cf. also the Tangkhul reflexes in <latinform>h-</latinform>.)</par>
29722	I	<par>M2: as 2.6.1</par>
29723	I	<par>M2: as 2.6.1</par>
29725	I	<par>M2: as 2.6.1 and above</par>
29732	I	<par>M2: more division? (OUT OF PLACE HERE?)</par>
29734	I	<par>JAM: <latinform>tûr</latinform> = &apos;alive&apos;? + 1321 or 2118? What is ~ ? (supposed to be OVER the e?)</par>
29735	I	<par>JAM: <latinform>tûr</latinform> = &apos;alive&apos;? + 1321 or 2118?</par>
29739	I	<par>BP pfx?</par>
29739	T	"<par>It is possible that this Angami form is a borrowing from <xref ref=""5636"">#5636</xref>; however, the <latinform>ú-</latinform> prefix is evidently of TB origin, occurring in many body-part words.</par>"
29741	I	<par>division?</par>
29742	I	<par>division?</par>
29825	T	<par>Jäschke&apos;s definition (p. 142): &quot;so, thus; in ancient literature regularly placed after words or thoughts that are literally quoted&quot;.</par>
29845	I	<par><latinform>a</latinform>=bodypart prefix?</par>
30009	I	<par>cf. Luquan Lolo <latinform>dʑe³³</latinform> LIVESTOCK (MXL-LQYi) (ref. &lt; LTSR Lü-Ch’ üan).</par>
30022	I	<par>Was tagged with now-defunct #620* [sic] <latinform>lay</latinform> TONGUE.</par>
30199	T	<par>This Lahu form is probably a loan from Burmese, since native Tone *2 syllables with voiceless fricative initials acquire Lahu very-low tone /<latinform> ̄</latinform>/. </par>
30217	T	"<par>Lahu <latinform>-chî</latinform> was previously identified (cf. DL:221) with the verb <latinform>chî</latinform> &apos;to lift up, exalt&apos; since curries or vegetable dishes &apos;lift up&apos; the taste of plain rice; most Lahu consultants endorse this analysis), but Akha has both <latinform>tjhì</latinform> [ILH] &apos;lift up&apos; and <latinform>tshɛ̀</latinform> &apos;food (except rice)&apos;, which might indicate that two separate morphemes are involved (cf. <xref ref=""152"">#152</xref>).</par>"
30219	T	<par>This is really a Middle Chinese form.</par>
30454	I	<par>Was tagged with now-defunct #620* [sic] <latinform>lay</latinform> TONGUE.</par>
146156	T	<par>“... staunch, immovable; safe, sure; definite, decided.” </par>
146163	T	<par>The Lahu expression <latinform>cú phâʔ</latinform> means &apos;to wean&apos;, but the second syllable descends from PLB <reconstruction>*pak</reconstruction> &apos;take apart; dismantle; separate from&apos; (LTSR #64), not from <reconstruction>*prat</reconstruction>. (The regular Lahu reflex of <reconstruction>*-at</reconstruction> is <latinform>-eʔ</latinform>.)</par>
146215	I	<par>The second syllable of this form means &apos;change, exchange&apos; &lt; PTB <reconstruction>*s-lay</reconstruction> (see STC #283, HPTB p. 208, 216, 217).</par>
146243	T	<par>The very low tone of the Lahu reflex points to a PLB Tone 2 etymon with *glottalized initial.</par>
148777	I	<par>DL 1275-6. Check Gloss.</par>
