rn	type	text
31384	I	<par>or 2111??</par>
31423	T	<par>Lahu <latinform>ní</latinform> could alternatively descend from the <latinform>*s-nip</latinform> variant, since the Lahu reflex of <latinform>*-ip</latinform> is <latinform>í</latinform> after *glottalized initials.</par>
31460	T	<par>This Jingpho form appears to be a loan from Burmese, since native etyma with final <reconstruction>*-k</reconstruction> acquire Jingpho <latinform>-ʔ</latinform>.</par>
31887	I	<par>remove division?</par>
31889	I	<par>ø = BP pfx?</par>
31992	T	<par>Reference doesn’ t check out.</par>
32182	T	<par>Final nasal in Jingpho <latinform>-ūm</latinform> perhaps result of assimilation to preceding round vowel.</par>
32213	I	<par>cf. Chinese.</par>
32234	T	<par>For a list of some thirty Black Lahu names for particular species of mushrooms, see DL:1004-1005.</par>
32320	I	<par>Second element means &apos;fat; grease&apos;.</par>
32373	I	<par>missing 2nd allofam?</par>
32376	I	<par>BP pfx? 227 (JAM) or 228 (or 181?)</par>
32462	I	<par>The second syllable is a borrowing from Indic (cf. Myanmar-English Dictionary), cf. Sanskrit siṁhá.</par>
32517	I	<par>missing allofams? (these 3 records)</par>
146419	I	<par>This record has no reflex; I was not able to locate a form in the source.</par>
146420	I	<par>This record has no reflex; I was not able to locate a form in the source.</par>
146421	I	<par>This record has no reflex; I was not able to locate a form in the source.</par>
146422	I	<par>This record has no reflex; I was not able to locate a form in the source.</par>
