rn	type	text
39652	I	<par>Could the second syllable be cognate with “belly” ? Note the similarity of this form to the Monpa Tilang word for “navel” .</par>
39652	I	<par>Last syllable related to 260 <latinform>poŋ</latinform> “belly” ?</par>
39663	T	"<par>Darang <latinform>ɹɑu⁵⁵</latinform> could also be from <xref ref=""814"">#814</xref>.</par>"
39695	I	<par>The last syll. a Tani suffix? Cf. Idu</par>
39730	I	<par><latinform>we&gt;</latinform><emph>: cf. </emph><latinform>we</latinform><emph>above; </emph>M2 = 2123?</par>
39733	I	<par>M2 = m or 573? or 572??</par>
39734	I	<par><latinform>xa</latinform> = 181/229?</par>
39737	I	<par>cf. below <latinform>mu</latinform>: 1107? (or 1106?-1384?)</par>
39738	I	<par>BP pfx? <emph>657 &amp; 777?</emph></par>
39756	I	<par>meaning of 1st elements? LUNG? <reconstruction>*nan</reconstruction>.</par>
39778	I	<par>could also be &lt; <reconstruction>*sak</reconstruction> -- need sound laws.</par>
39778	I	<par>M1: 66?, M2: or 1382?</par>
39815	I	<par>check gloss.</par>
39854	I	"<par>Variation in the reflex of <xref ref=""363"">#363</xref> in BEARD and EYEBROW.</par>"
39873	I	<par>Note the similarity to the Kanauri form for ‘throat’ : <latinform>gr̀dblquote olör̀quote n</latinform> (18130,118664).</par>
39899	I	<par>461 or 459?</par>
39902	I	<par>cf. <latinform>pho</latinform> below; <emph>kho/khi; </emph>M2 = 2123?</par>
39905	I	<par>or 229, 572?</par>
39907	I	<par>Prob. 1319 and not 1320? Add LIVER to 1319 gloss.</par>
39909	I	<par>1107?</par>
39910	I	<par>M2: 650?</par>
39928	I	<par>meaning of 1st elements? LUNG? <reconstruction>*nat</reconstruction>.</par>
39988	I	<par>check gloss.</par>
41367	I	<par>see <emph>ka(t)</emph></par>
41382	I	<par>2nd syl was tagged 1321.</par>
41382	I	<par>JAM:<latinform>tûr</latinform> = &apos;alive&apos;? + 1321 or 2118?</par>
41383	I	<par>BP pfx? 572? ?change 572 to (l)? or change gloss of 228/229?</par>
41385	I	<par>BP pfx? M2: see p. 17 2.4.2. Nungic</par>
41387	I	<par>or 1381??</par>
41416	I	<par>May be rhinoglottophiliac.</par>
41417	T	<par>Bokar Lhoba <latinform>tɕu rə</latinform> a loanword from Tibetan, referring actually to a kind of dried cheese (cf. WT <latinform>ru-ma</latinform> &apos;curdled milk, used as a ferment&apos; (Jäschke 1881/1958:531)).</par>
41973	I	<par>Could this form be related to “belly” ?</par>
41973	I	<par>Related to 260 <latinform>poŋ</latinform> “belly” ?</par>
41989	I	<par>Cf. Spiti <latinform>pawo</latinform> &apos;skin&apos;.</par>
41997	I	<par>Tshona <latinform>pᴀ⁵³</latinform> is a borrowing from Tibetan.</par>
41997	I	<par>The second syllable is a borrowing from Tibetan.</par>
42003	I	<par>typo? should vowel in s2 be <latinform>ʌ</latinform>?</par>
42004	I	<par>Second syll looks like CHIN.</par>
42039	I	<par>M1: or see <emph>ka(t)</emph>? or <emph>ge-ma</emph>? M2: s or 200?</par>
42053	I	<par>cf. <latinform>pho</latinform> above; 2103 (or 2111?); or 777??</par>
42055	I	<par><emph>cu</emph> = <emph>zu</emph> below. M2: 1384 etc. or s?</par>
42057	I	<par>M2: s or e.g. 1384 (or even 1392 w/added gloss)?</par>
42058	I	<par>(perh. 572??) (or perh. 572?)</par>
42059	I	<par>or 1381?</par>
42060	I	<par>M1: 650? rel. to 1390? M2: 191? M3: or 229? (if expand gloss) M4: 658?</par>
42159	I	<par>Note the similarity between the Monpa forms for &apos;tail&apos; and the Mru forms <latinform>ʃr̀dblquote ɛmyi³</latinform> (163260) and <latinform>ʃr̀dblquote imi³</latinform> (163261); the &apos;p&apos; in the Monpa forms may be epenthetic.</par>
42211	I	<par>s or 200?</par>
42225	I	<par>ibid.<emph>khi</emph></par>
42227	I	<par>572? 318? and cf. <latinform>ria</latinform> above</par>
42230	I	<par>1390?? perh. 2122?? + sfx <latinform>-s</latinform>?</par>
42231	I	<par>or 1381? But cf. below 117409 and 144322 (Jirel): 1 morpheme only? and above *TB 144329</par>
42232	I	<par>division? M2: rel. to 1390?</par>
42250	I	<par><reconstruction>*nat</reconstruction></par>
42250	I	<par>as below this page. M1: 1381?? 191??</par>
42263	T	<par>Tsangla (Motuo) <latinform>tɕʰu ra</latinform> is a loanword from Tibetan, referring to a kind of dried cheese (cf. Bokar Lhoba <latinform>tɕu rə</latinform>).</par>
42282	T	<par>The final nasal in this form is unexplained, but is perhaps due to assimilation to a now-lost suffix with nasal initial (cf. Milang <latinform>ɟim-ma</latinform>).</par>
