rn	type	text
41165	I	<par>error on first tone?</par>
41166	T	<par>Note different tone on <latinform>pan³¹</latinform> in ZMYYC (<latinform>pan⁵¹</latinform>).</par>
41170	I	<par>The first syllable of this form means &apos;eye&apos; (&lt; PTB <reconstruction>*s-mik ⪤ *s-myak</reconstruction>), and the third syllable means &apos;hair&apos; (&lt; PTB <reconstruction>*mul ⪤ *mil</reconstruction>).</par>
41190	I	<par>For alternative etymologies, see STC notes 102, 109, 137. The Jingpho word for ‘hand’ (<latinform>lətáʔ</latinform> in the STC’ s notation) may be monomorphemically from *lak or *glak.</par>
41207	I	<par>or 181?</par>
41210	I	<par>or 2103?</par>
41211	I	<par>BP pfx? M2: or 2103?</par>
41214	I	<par>or 1390/1390? Another reason to suspect ts/tsh is from another Etym?</par>
41214	I	<par>#1390 is glossed LIVER / HEART / BILE / BITTER. If &apos;heart&apos; and &apos;liver&apos; are one semantic area in this region, this Jingpho form might be a loan from Chinese xinzang &apos;heart&apos;. </par>
41216	I	<par>cf. Nung<latinform>səhi</latinform><latinform> </latinform>below?also Dulongs.</par>
41217	I	<par>M1: 653? or 117?</par>
41229	I	<par>M1: 1390?</par>
41272	I	<par>also tagged as 142.</par>
41272	I	<par>was tagged as *144, 142.</par>
41291	I	<par>What is ety 117? M1 = WATER, LIQUOR.</par>
334118	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
334186	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
334255	I	<par>Loan, from Thai or Burmese?</par>
334342	T	<par>Lit. &quot;oil-fire&quot;.</par>
334363	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
334413	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
334446	T	<par>The Jingpho final is irregular: one would expect <latinform>-n</latinform> as the reflex of <latinform>*-l</latinform>.</par>
334560	I	<par>Loan from Chinese, cf. Chinese guònián 过年.</par>
