rn	type	text
51195	I	<par>Note the interesting superficial resemblance to Bodo <latinform>tapila</latinform> (114708).</par>
51198	I	<par>&lt; Thai <latinform>nâa-ʔòk</latinform> ‘chest’ . See also the Mpi form <latinform>ʔoʔ⁶-liʔ⁴ </latinform>‘chest’ (61975).</par>
51220	T	<par>Bisu <latinform>pɛ khà</latinform> &apos;liver&apos; (cf. Garo <latinform>bi-ka</latinform> &apos;liver&apos;).</par>
51231	I	<par>BP pfx? 315 or 2102?</par>
51233	I	<par>Division?</par>
51238	I	<par>or <latinform>aŋ</latinform> = BP pfx?</par>
51239	I	<par>a = BP pfx?;cf. below <latinform>?a-hmap</latinform></par>
51240	I	<par>third syll =1438 FAT? or LIQUID?</par>
51241	I	"<par>The last element <latinform>láŋ</latinform> in this form means &apos;water&apos;; cf. <xref ref=""191"">#191</xref>, below.</par>"
51241	I	"<par>The last element <latinform>láŋ</latinform> in this form means &apos;water&apos;; cf. <xref ref=""191"">#191</xref>, below.</par>"
51248	I	<par>The first syllable is from 479 <reconstruction>*liŋ</reconstruction>, but *l- &gt; n- is unexplained.</par>
51261	I	<par>BP pfx?</par>
51267	I	<par>Literally &quot;penis + egg&quot;.</par>
51270	T	<par>Note that Beaudouin glosses this form as &apos;tibia&apos;, but <latinform>mɛ-hnɨ</latinform> (with different tone on first morpheme) is &apos;eye&apos;, which suggests the long form should mean &apos;ankle&apos;, not &apos;tibia&apos;. (Note Bradley has <latinform>mɛ̀-hnɨ</latinform> &apos;eye&apos; and LTSR has <latinform>mɛ̀-hnɯ̄</latinform> &apos;eye&apos;.)</par>
51276	T	<par>Bisu <latinform>sàj</latinform> is a borrowing from Thai <latinform>sǎaj</latinform> &apos;cord, string&apos;. This morpheme, interestingly enough, occurs in reduced form in the Thai word for &apos;navel&apos;, <latinform>sədɨɨ</latinform> (cf. Li Fang Kuei 1977:92).</par>
51285	T	<par>Borrowing from Tai <latinform>kə̀ət</latinform>.</par>
51298	I	<par>1st morpheme means &apos;rice&apos;</par>
