rn	type	text
40013	I	<par><latinform>ùl waʔ</latinform> as below; M2: 227?650? or 1390? M2: <latinform>tçi</latinform>=GALL (227/650 etc.) <emph>(</emph><emph>throughout)??</emph>; Note: <latinform>klaŋ</latinform></par>
40068	I	<par>See above 10146 etc.</par>
40069	I	<par>M1: 2118? M2 = 674 or 2111?</par>
40071	I	<par>M1:or 2103? and see next</par>
40072	I	<par>1381? *NOTE: here approx. <latinform>mak</latinform> not pfx</par>
40073	I	<par>as above</par>
40075	I	<par>cf. Jingpho last above? + below thru Nung</par>
40076	I	<par>M1: 227?650? M1: <latinform>tçi</latinform>=GALL (227/650 or 1390? etc.) <emph>(</emph><emph>throughout)??</emph>; Note: <latinform>klaŋ</latinform></par>
40150	I	<par>note: final t similar to written Tibetan <latinform>sad-pa⪤sod-pa</latinform>.</par>
40151	I	<par>according to DPTB p.29, <reconstruction>*aŋ &gt; aŋ</reconstruction> in Dulong so unlikely that tag is correct.</par>
40151	I	<par>tagged (130,p,142) - cognacy?</par>
40155	I	<par>See also WB <latinform>cut</latinform>.</par>
40175	T	<par>Dulong -<latinform>k</latinform> has assimilated to the following syllable.</par>
40175	T	<par>Note metathesis of *<latinform>r</latinform>- prefix with the Dulong glide -<latinform>l</latinform>-.</par>
40185	I	<par>1st two syll = STOMACH? Check morphemic ident of 1st element.</par>
40201	I	<par>1459, 1460?</par>
40218	I	<par><latinform>ùl waʔ</latinform>: as previous; M2: 227?650? M2: or 1390? <latinform>tçi</latinform>=GALL (227/650 etc.) <emph>(</emph><emph>throughout)??</emph>; Note: <latinform>klaŋ</latinform></par>
40260	I	<par>M1: 2118? M2 = 674 or 2111?</par>
40262	I	<par>M1: BP pfx? M2: or 2103? M2/3: as prev. 2102??</par>
40263	I	<par>1381? *NOTE: here approx. <latinform>mak</latinform> not pfx</par>
40264	I	<par>as above</par>
40266	I	<par>cf. Jingpho last above? + below thru Nung</par>
40267	I	<par>M1: 227?650? M1: <latinform>tçi</latinform>=GALL (227/650 or 1390? etc.) <emph>(</emph><emph>throughout)??</emph>; Note: <latinform>klaŋ</latinform></par>
40341	T	<par>Note rhotacism.</par>
40344	I	<par>1st two syll = STOMACH? Check morphemic ident of 1st element.</par>
299059	I	<par>Loan from Chinese, cf. Chinese báicài 白菜  &apos;Chinese cabbage, bok choy&apos;.</par>
299114	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
299114	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
299273	I	"<par>Loan from Chinese, cf. Chinese yǐzi 椅子	&apos;chair&apos;.</par>"
299274	I	<par>Loan from Chinese, cf. Chinese bǎndèng 板凳 ‘wooden stool’.</par>
299303	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
299309	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
299310	I	<par>Loan from Chinese, cf. Chinese mòshuǐ 墨水 ‘ink’.</par>
299330	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
