rn	type	text
61038	I	<par>Check gloss.</par>
61136	I	<par>Whence -y?</par>
61160	I	<par>what is underline? M1: 1326?? M2: 189? (or 16?) (or 1019 <latinform>sey</latinform> ROUND OBJECT) <emph>WAIST</emph>?</par>
61170	I	<par>M1 = 574? M2 = 572?</par>
61186	I	<par><emph>co</emph> cf. <latinform>ko</latinform> etc. below. Also <latinform>kho</latinform> (M2)? Div.?</par>
61544	I	<par>Check gloss.</par>
61545	I	<par>Check gloss.</par>
61624	I	<par>Why the trailing line segment?</par>
61744	I	<par>or perh. (1320 or) what is _ ?</par>
61936	I	<par>not sure about first morpheme. Was tagged as P24 as of 4/27/93, but this was the only P24 in the db.</par>
61936	I	<par>P24 =?</par>
