tag	type	text
819	T	"<par>There are two phonosemantically similar roots <xref ref=""814"">#814</xref> and <xref ref=""2012"">#2012</xref>.</par><par>For now, all Qiangic forms for HORN are assigned to these latter roots, rather than to the present root; all Himalayish forms are assigned to 814, while all Lolo-Burmese forms are deemed to descend from the present root.</par>"
769	T	<par>Most reflexes of this etymon (possibly including WB <latinform>muik</latinform>) have a final velar stop, but other Burmese forms point to an allofam with final velar nasal. Several Himalayish languages of Nepal have borrowed an accidentally similar Indo-Aryan root with the meaning &apos;fist&apos;: Kanauri <latinform>muṭhu</latinform>, <latinform>mŭṭṭhu</latinform>, Chantyal <latinform>murki</latinform>, Kham <latinform>mutka</latinform> &lt; cf. Skt. <emph>muṣṭi-</emph>, Pali <emph>muṭṭhi-</emph>.</par>
1383	T	<par>This etymon was reconstructed as <latinform>b-yet ⪤ m-yet</latinform> in VSTB:211, but was inadvertently omitted from HPTB.</par>
5386	F	<par><hanform>善</hanform> OC <latinform>*d̑i̯ɑn</latinform>, GSR #205a-c &apos;good, approve, make good&apos;; B &amp; S 2011: <latinform>*ɡenʔ {[ɡ]e[n]ʔ}</latinform>; Mand. <latinform>shàn</latinform>.<br /><hanform>繕</hanform> OC <latinform>*d̑i̯ɑn</latinform>, GSR #205f &apos;repair, put in order&apos;; Mand. <latinform>shàn</latinform>.</par>
2627	T	<par>This root shows an unusual alternation of initial consonants, with both the dental and the velar onsets being well attested. Some languages have lost any direct trace of either of these initial elements, and show forms beginning with <latinform>r-</latinform> or <latinform>ʐ</latinform>.</par>
668	T	<par>This root appears mostly in Himalayish, with a possible cognate from Qiangic. The second syllable of Karbi <latinform>mak-phu</latinform> &apos;mons Veneris&apos; seems unrelated. In view of the gloss it probably means something like &apos;swelling; protuberance&apos;. It bears a resemblance to other reflexes of the well-attested root <reconstruction>*bwam ⪤ *pwam</reconstruction> PLUMP / SWOLLEN (STC #172; HPTB pp. 249, 252, 341, 518).</par>
2381	T	<par>Mpi seems to have developed a doublet from this complex initial group.</par>
5183	T	"<par>Perhaps derived from PKC <latinform>*yaa</latinform> HUNDRED (VanBik 2009:281). See <xref ref=""2258"">#2258</xref>.</par>"
476	T	<par>&quot;The first morpheme is &apos;tooth&apos;; the second morpheme can be identified with the classifier for long slender objects, PT *buŋ...&quot; Sun 1993a:92.</par>
476	T	<par>Two forms with final velar stop (Bokar Lhoba <latinform>gum pɯk</latinform> and Tsangla Motuo <latinform>ʔa pak taŋ</latinform> &apos;mouth&apos;) seem at first glance to be related to this root. However, Bokar <latinform>nap pang</latinform> and Tsangla <latinform>no waŋ</latinform> &apos;mouth&apos; suggest that a separate root is involved.</par><par>The resemblance of these stop-finalled forms to Thai (cf. Siamese <latinform>pàak</latinform> &apos;mouth&apos;) seems quite fortuitous.</par><par>So far the nasal prefix has only been found in Qiangic.</par>
2722	T	"<par>This etymon has a very likely connection with <xref ref=""663"">#663</xref>, illustrating the widespread alternation between dental stop and liquid in TB. See Matisoff 2013 (&quot;The dinguist&apos;s dilemma&quot;).</par>"
2722	F	<par><hanform>寔</hanform> OC <latinform>*d̂i̯ək</latinform>, GSR #866s &apos;this; this is; really&apos;; Schuessler 2007:464 <latinform>*dək</latinform>; B &amp; S 2011: (<latinform>*dek</latinform>); Mand. <latinform>shí</latinform>.<br /><hanform>實</hanform> OC <latinform>*d̂i̯ĕt</latinform>, GSR #398a-c &apos;solid; true; really&apos;; Schuessler 2007:464 <latinform>*dit</latinform>; Mand. <latinform>shí</latinform>.<br /><hanform>直</hanform> OC <latinform>*di̯ək</latinform>, GSR #919a &apos;straight; right&apos;; Schuessler 2007:616 <latinform>*drək</latinform>; B &amp; S 2011: <latinform>*N-t‹r›ək</latinform>; Mand. <latinform>zhí</latinform>.</par><par><hanform>正</hanform> OC <latinform>*t̂i̯ĕng</latinform>, GSR #833j &apos;first (lunar month)&apos;; B &amp; S 2011: <latinform>*C.teŋ</latinform>; Mand. <latinform>zhēng</latinform>.<br /><hanform>正</hanform> OC <latinform>*̵t̑i̯ĕng</latinform>, GSR #833j &apos;straight, correct&apos;; B &amp; S 2011: <latinform>*teŋ-s</latinform>; Mand. <latinform>zhèng</latinform>.<br /><hanform>政</hanform> OC <latinform>*̵t̑i̯ĕng</latinform>, GSR #833r-s &apos;government; rule, law; manage&apos;; Schuessler 2007: <latinform>*teŋh</latinform>; B &amp; S 2011: <latinform>*teŋ-s </latinform>; Mand. <latinform>zhèng</latinform>.</par><par><latinform>Comment:</latinform> Schuessler 2007:464 considers <hanform>實</hanform> <latinform>shí</latinform> with the meaning &quot;solid, true, really&quot; to be a phonetic variant of <hanform>寔</hanform> <latinform>shí</latinform> in OC. He treats as a separate etymon <hanform>實</hanform> <latinform>shí</latinform>, when it means &quot;fruit&quot; (ibid.).</par>
2731	T	<par>This root appears in several TB subgroups, including Lolo-Burmese and Karenic, but is certainly an areal word; cf. Thai <latinform>cháaŋ</latinform> and Mandarin <hanform>象</hanform> <latinform>xiàng</latinform>.</par>
2638	T	<par>This root seems to be confined to the NE Indian linguistic area.</par>
70	T	"<par>This well-attested root occurs in the NE Indian Areal Group, Himalayish, and Lolo-Burmese, and probably in Karenic and Qiangic as well. It is reconstructed in STC #135, which only lists the WT and Lushai (Mizo) forms. The Jingpho forms <latinform>pràt</latinform>, <latinform>šəpràt</latinform> &apos;bear, give birth&apos; do not belong in this set, since <latinform>-ŋ ⪤ -t</latinform> is not an established pattern of variation in TB word-families.<footnote>As a longshot, we might relate these Jingpho forms to <xref ref=""1787"">#1787</xref>, below.</footnote></par>"
70	T	<par>The Himalayish forms with high vowels (Tamangic <latinform>-u/-i</latinform>, Pattani <latinform>-i</latinform>) are tentatively assigned to this etymon.</par>
1423	T	<par>This promising root requires further confirmation.</par>
3582	F	<par><hanform>梯</hanform> OC <latinform>*t’i̯ər</latinform>, GSR #591l &apos;wooden steps, staircase&apos;; Schuessler 2007:493 <latinform>*thî ~ thə̂i</latinform>; B &amp; S 2011: <latinform>*l̥ˁəj {l̥ˁ[ə]j}</latinform>; Mand. <latinform>tī</latinform>.</par><par>The Chinese and Chepang comparisons are due to Bodman 1980.</par>
537	T	<par>This promising root requires further confirmation.</par>
3602	T	"<par>For now, we consider this etymon as distinct from <xref ref=""1906"">#1906</xref>, although several reflexes have <latinform>-i</latinform> vocalism; such <latinform>-i</latinform> ⪤ <latinform>-u</latinform> variation has so far only been solidly attested in closed syllables. The Qiangic form with <latinform>-i-</latinform> shows the expected &quot;brightening&quot;.</par><par>The Apatani forms might also come from <xref ref=""1819"">#1819</xref>.</par>"
3602	F	<par><hanform>逗</hanform> S625 C141</par>
1637	T	<par>This etymon has solid reflexes in the NE Indian Areal Group (Garo, Karbi) and Himalayish (Lepcha, Manchati). Several Chinese comparanda suggest themselves: <hanform>雄</hanform> OC <latinform>*gi̯ŭng</latinform>, GSR #887l &apos;male&apos;; Mand. <latinform>xióng</latinform>, and/or <hanform>犅</hanform> OC <reconstruction>*kɑ̂ng</reconstruction>, GSR #697f-g, &apos;bull&apos;; Mand. <latinform>gāng</latinform>. A less plausible comparison is with <hanform>公</hanform> OC <latinform>*kung</latinform>, GSR #1173a-f &apos;father; prince&apos;; Mand <latinform>gōng</latinform> (although Karlgren notes that &apos;some of these forms seem to suggest a phallic interpretation&apos;). STC (n. 488, p. 190) suggests comparing this last Chinese morpheme to TB forms like Rawang <latinform>əkhaŋ</latinform> &apos;grandfather&apos;; WB <latinform>pha’-khaŋ</latinform> &apos;father&apos;, <latinform>mi’-khaŋ</latinform> &apos;mother&apos;, <latinform>khaŋ-pwân</latinform> &apos;spouse&apos;, and <latinform>khaŋ-bhya</latinform> &apos;sir; madam&apos;. It seems unlikely, however, that this group of forms has anything specifically to do with maleness; it seems rather to have been an honorific appellation for an elder or respected relative of either sex.</par>
