rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
144314	1171	Newar	swạ	swạ	lung	lung			1.7.2	1a	0			5482
144315	1271	Pwo (Bassein)	pò-|θòʔ	pò-θòʔ	lung	lung			1.7.2	1a	0			7384
144317	342	Bisu	ʔaŋ-hmaw	ʔaŋ-hmaw	lung	lung			1.7.2	1a	0			5450,5738
144318	1289	Côông [Phunoi]	ʔã-hmap	ʔã-hmap	lung	lung			1.7.2	1a	0			5450,5738
144319	180	*Tibeto-Burman	s-|wa-|p	s-wa-p	lung	lung			1.7.2	1a	0			5482
144320	678	Jingpho	sìn-wóp	sìn-wóp	lung (=spongy liver)	lung (=spongy liver)			1.7.2	1a	0		u	1390,457
144321	180	*Tibeto-Burman	sin-wap	sin-wap	lung	lung			1.7.2	1a	0			1390,457
144322	704	Jirel	lwa-syakq	lwa-syakq	lung	lung			1.7.2	1b	0			2121,32
144324	193	Padam-Mishing [Abor-Miri]	â-rop	â-rop	lung	lung			1.7.2	1b	0		D0	p,5481
144326	1453	Tamang (Risiangku)	glap-sya	glap-sya	lung	lung			1.7.2	1b	0		u	2121,32
144328	1574	Tibetan (Written)	glo-ba	glo-ba	lung	lung			1.7.2	1b	0		D0	2121,s
144329	180	*Tibeto-Burman	l-wa-p⪤*r	l-wa-p⪤*r	lung	lung			1.7.2	1b	0			e
144330	447	Chepang	pop	pop	lung	lung			1.7.2	1c	0			m
144331	840	Lahu	ɔ̀-chɨ̂-phôʔ	ɔ̀-chɨ̂-phôʔ	lung	lung			1.7.2	1c	0		D0	5450,458,b
144332	215	Ahi	tsɿ⁴⁴-pu²²	tsɿ⁴⁴-pu²²	lung	lung			1.7.2	1c	0	jbl5	HIDE	DUPE IN SOURCE
144333	236	Akha	shà-pɔ̀ʔ	shà-pɔ̀ʔ	lung	lung			1.7.2	1c	0			34,m
144335	1271	Pwo (Bassein)	pòʔ-|θòʔ	pòʔ-θòʔ	lung	lung			1.7.2	1c	0			7384
144336	725	Kaike	phwa	phwa	lung	lung			1.7.2	1c	0	jbl5	HIDE	DUPE IN SOURCE
144338	180	*Tibeto-Burman	p-|wa-|p	p-wa-p	lung	lung			1.7.2	1c	0			5481
144339	756	Khaling	'swah-prap	'swah-prap	lung	lung			1.7.2	ld	0			1745,5481
144340	326	Bantawa	som-phu-rok	som-phu-rok	lung	lung			1.7.2	ld	0			66,m,m
144341	476	Chinese (Old)	p'iwad	p'i◦wad	lung	lung			1.7.2	ld	0		u	5481
144345	840	Lahu	ɔ̀-chɨ̂	ɔ̀-chɨ̂	lung	lung			1.7.2	2a	0			5450,458
144346	1370	Sani [Nyi]	ts'ẓ¹¹-p'o³³-ma³³	ts'ẓ¹¹-p'o³³-ma³³	lung	lung			1.7.2	2a	0	jbl5	HIDE	DUPE IN SOURCE
144347	980	Lushai [Mizo]	chuap	chuap	lung	lung			1.7.2	2a	0			457
144349	180	*Tibeto-Burman	tsi	tsi	lung	lung			1.7.2	2a	0			458
144350	215	Ahi	tsɿ⁴⁴-pu²²	tsɿ⁴⁴-pu²²	lung	lung			1.7.2	2b	0		D1	458,s
144352	180	*Tibeto-Burman	tsit	tsit	lung	lung			1.7.2	2b	0			458
144353	840	Lahu	cɨ́-šɛ̄-mì-cə̀	cɨ́-šɛ̄-mì-cə̀	entrails, viscera in general	entrails, viscera in general			1.7.7	2c	0			
144355	180	*Tibeto-Burman	ʔtsit or *ʔdzit	ʔtsit or *ʔdzit	entrails, viscera in general	entrails, viscera in general			1.7.7	2c	0			
144356	403	Burmese (Written)	chut	chut	lung	lung			1.7.2	2d	0			458
144358	1685	Atsi [Zaiwa]	tsʔut	tsʔut	lung	lung			1.7.2	2d	0			458
144359	646	Hayu	ɟot	ɟot	lung	lung			1.7.2	2d	0			458
144360	873	Lakher [Mara]	pa-chao	pa-chao	lung	lung			1.7.2	2d	0			
144362	180	*Tibeto-Burman	ʔtsut	ʔtsut	lung	lung			1.7.2	2d	0			458
144363	1476	Tangkhul	ā-phār	ā-phār	lung	lung			1.7.2	3	0			p,5737
144364	1066	Mikir [Karbi]	ing-phor	ing-phor	lung	lung			1.7.2	3	0			p,5737
144365	261	Angami Naga	ú◦phié	ú◦phié	lung	lung			1.7.2	3	0			18,5737
144366	725	Kaike	phwa	phwa	lung	lung			1.7.2	3	0		D1	5737
144367	180	*Tibeto-Burman	pwar	pwar	lung	lung			1.7.2	3	0			5737
144369	897	Lepcha	a-bu	a-bu	lung	lung			1.7.2	4	0			p,m
