rn	type	text
260447	T	<par>LOAN</par>
260448	T	<par>LOAN</par>
260462	T	<par>Skt. LOAN</par>
260605	T	<par>LOAN</par>
260618	T	<par>Arabic LOAN</par>
260632	T	<par>Arabic LOAN</par>
260646	T	<par>Skt. LOAN</par>
260669	T	<par>Hindi LOAN</par>
260684	T	<par>Hindi LOAN</par>
260753	T	<par>Skt. LOAN</par>
260835	T	<par>(lwase) LOAN</par>
260861	T	<par>garib is an Urdu loan.</par>
260899	T	<par>Sanskrit.</par>
260910	T	<par>Sanskrit.</par>
260933	T	<par>gyāni is a Sanskrit loan.</par>
260946	T	<par>Nepali LOAN</par>
260971	T	<par>Nepali LOAN</par>
260982	T	<par>LOAN</par>
260995	T	<par>Skt. LOAN</par>
261008	T	<par>Sanskrit loan.</par>
261112	T	<par>(hwa:s yā:-) LOAN</par>
261158	T	<par>Skt. LOAN</par>
261176	T	<par>Urdu.</par>
261196	T	<par>Hindi loan.</par>
261209	T	<par>(dayā) Skt. LOAN</par>
261232	T	<par>(saha) Nepali LOAN</par>
261266	T	<par>Skt. LOAN</par>
261277	T	<par>Nepali loan<br />KPM note: ni:</par>
261287	T	<par>LOAN</par>
261512	T	<par>Nepali LOAN</par>
261946	I	<par>Loan from Nepali saphā &apos;clean&apos;.</par>
261949	I	<par>Loan from Nepali saphā &apos;clean&apos;.</par>
262641	T	<par>(bāe) from Skt <emph>vāsa-</emph> = dwelling</par>
262728	T	<par>Nepali LOAN</par>
262821	T	<par>Urdu loan</par>
262822	T	<par>Sanskrit loan</par>
262831	T	<par>Nepali loan.</par>
262840	T	<par>Nepali loan.</par>
262849	T	<par>Sanskrit root - palh-</par>
262892	T	<par>Sanskrit.</par>
262954	T	<par>(bayān) Arabic LOAN</par>
262977	T	<par>LOAN</par>
262986	T	<par>LOAN</par>
263008	T	<par>(gunae) Skt. LOAN</par>
263016	T	<par>LOAN</par>
263134	T	<par>Wind instruments.</par>
263135	T	<par>Percussion instrument only.</par>
263136	T	<par>Drum instruments.<br />KPM note: lhā-ye</par>
263145	T	<par>Past.</par>
263196	T	<par>Sanskrit loan.</par>
263205	T	<par>LOAN</par>
263239	T	<par>Honorific past.</par>
263456	T	<par>Nepali loan.<br />KPM note: nyāta</par>
263575	T	<par>Sanskrit.<br />KPM note: sāṇijya.</par>
263662	T	<par>LOAN</par>
263697	T	<par>Sanskrit loan.</par>
263756	T	<par>LOAN</par>
263777	T	<par>KPM note: ?? dhuwā - owner</par>
263786	T	<par>Sanskrit loan.</par>
263824	T	<par>bhwat is a loan from English.</par>
263835	T	<par>Nepali LOAN</par>
263845	T	<par>Hindi loan.</par>
263865	T	<par>lutae is from Hindi lūlā</par>
263887	T	<par>Nepali LOAN</par>
263904	T	<par>Nepali loan.</par>
263914	T	<par>Sanskrit.</par>
263955	T	<par>Skt. LOAN</par>
263956	T	<par>Skt. LOAN</par>
263965	T	<par>(dwa) Nepali LOAN</par>
263983	T	<par>Nepali loan</par>
264032	T	<par>LOAN</par>
264041	T	<par>Arabic LOAN</par>
264082	T	<par>Etym. - nwa = mouth + wā-ye = to use } nwa-wā-ye = to speak.</par>
264166	T	<par>LOAN</par>
264189	T	<par>LOAN</par>
264240	T	<par>mānae is a Nepali loan.</par>
264251	T	<par>Sanskrit vinali</par>
264270	T	<par>Urdu loan</par>
264282	T	<par>Nepali loan</par>
264292	T	<par>Nepali LOAN</par>
264293	T	<par>Nepali LOAN</par>
264362	T	<par>Persian</par>
264422	T	<par>Nepali loan</par>
264433	T	<par>Past.</par>
264443	T	<par>KPM note: biwas? Hindi? biswās ju-ye?</par>
264574	T	<par>Skt. LOAN</par>
264584	T	<par>Nepali LOAN</par>
264593	T	<par>Sanskrit loan</par>
264654	T	<par>Nepali LOAN</par>
264675	T	<par>LOAN</par>
264705	T	<par>Nepali loan.</par>
264738	T	<par>Skt. LOAN</par>
264750	T	<par>LOAN</par>
264751	T	<par>LOAN</par>
264760	T	<par>LOAN</par>
264789	T	<par>LOAN</par>
264822	T	<par>KPM note: ?</par>
264861	I	<par>note: check CSDPN</par>
265120	I	<par>This form provided by JAM as a correction of the form for ‘forty’  erroneously glossed as ‘thirty-nine’ .</par>
265132	T	<par>This form appears in the source with the gloss ‘thirty-nine’ .</par>
265132	O	<par>The source indicates that this form is not common and that Nepali numbers are usually used.</par>
265139	I	<par>appears to be &apos;minus ten&apos;-&apos;three&apos;-&apos;times twenty&apos;</par>
265144	T	<par>This form appears in the source with the gloss ‘forty’ .</par>
265144	O	<par>The source indicates that this form is not common and that Nepali numbers are usually used.</par>
265151	I	<par>&apos;three&apos;-&apos;times twenty&apos;</par>
265156	T	<par>This form appears in the source with the gloss ‘fifty’ .</par>
265156	O	<par>The source indicates that this form is not common and that Nepali numbers are usually used.</par>
265199	T	<par>-gu = an inanimate classifier.</par>
265209	T	<par>-gu = an inanimate classifier.</par>
265406	T	<par>KPM note: sanskrit jwara</par>
265460	T	<par>Skt. LOAN</par>
265659	T	<par>Skt. LOAN</par>
265672	T	<par>Nepali LOAN</par>
265686	T	<par>LOAN</par>
265698	T	<par>Persian</par>
265710	T	<par>Nepali LOAN</par>
265722	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
265733	T	<par>Skt. LOAN</par>
265746	T	<par>Skt. LOAN</par>
265757	T	<par>Skt. LOAN</par>
265769	T	<par>Skt. LOAN</par>
265783	T	<par>Sanskrit loan.</par>
265797	T	<par>Nepali LOAN.</par>
265811	T	<par>Skt. LOAN: <latinform>āyurdā</latinform>.</par>
265838	T	<par>Nepali LOAN</par>
265876	T	<par>Skt. LOAN</par>
265902	T	<par>Sanskrit - ghālā</par>
265930	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
266053	T	<par>Sanskrit.<br />KPM note: kṣaya-roga.</par>
266065	T	<par>Nepali LOAN</par>
266075	T	<par>Nepal LOAN</par>
266082	T	<par>Sanskrit/Nepali/Hindi.</par>
266166	T	<par>Sanskrit - rīṣa</par>
266220	T	<par>Skt. LOAN</par>
266284	T	<par>Skt. LOAN</par>
266298	T	<par>Skt. LOAN (<emph>duḥkha-</emph> = suffering)</par>
266313	T	<par>Sanskrit.</par>
266347	T	<par>Sanskrit.</par>
266385	T	<par>Nepali loan.</par>
266399	T	<par>Nepali loan.</par>
266435	T	<par>Nepali loan.</par>
266459	T	<par>Arabic / Urdu LOAN</par>
266470	T	<par>Skt. LOAN</par>
266480	T	<par>Sanskrit loan</par>
266487	T	<par>Sanskrit - dvajā</par>
266515	T	<par>Sanskrit.</par>
266529	T	<par>Sanskrit loan.</par>
266530	T	<par>Sanskrit loan.</par>
266551	T	<par>Skt. LOAN</par>
266573	T	<par>Sanskrit loan.</par>
266584	T	<par>Skt. LOAN</par>
266926	I	<par>note: check CSDPN.<br />KPM note: dha:r is circled but the letter written in is unidentifiable. Could be a &quot;n&quot;.</par>
267069	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
267082	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
267581	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
267663	T	<par>Hindi LOAN</par>
267687	T	<par>-gu = one which is = relativizing/nominalizing suffix</par>
267721	T	<par>Skt. <emph>belā-</emph> = time</par>
267838	T	<par>Skt.</par>
267850	T	<par>Sanskrit - thāna</par>
267851	T	<par>Sanskrit - thāna</par>
267887	T	<par>LOAN</par>
267907	T	<par>Sanskrit - guaṣḷhi</par>
267911	I	<par>Loan from Indic, cf. *sūṅkara.</par>
267940	T	<par>Skt. LOAN</par>
267955	T	<par>loan</par>
268115	T	<par>Nepali loan.</par>
268116	T	<par>Apparently from Chinese.</par>
268253	T	<par>Nepali LOAN</par>
268294	T	<par>Nepali LOAN</par>
268304	T	<par>LOAN</par>
268500	T	<par>Nepali LOAN</par>
268667	T	<par>LOAN Skt. Sakala</par>
268796	T	<par>Sanskrit - manu-ya</par>
269101	T	<par>Skt. LOAN vijaya (yā-ye &gt; vijyāye)</par>
269186	T	<par>KPM note: nibhā<br />Sanskrit loan - check in dictionary.</par>
269187	T	<par>Sanskrit loan - check in dictionary.<br />KPM note: nibhā-dyo.</par>
269283	T	<par>Skt. LOAN</par>
269339	T	<par>oblique form</par>
269340	T	<par>upright form</par>
269590	T	<par>Skt. LOAN</par>
269603	T	<par>LOAN Skt</par>
269792	T	<par>&lt; Skt <emph>khaga-</emph> &apos;bird&apos;</par>
269863	T	<par>Skt. LOAN</par>
269889	T	<par>loan.</par>
269928	T	<par>Nepali LOAN</par>
269947	T	<par>&lt; Nep pāṛo ‘buffalo calf’</par>
269993	T	<par>Skt. LOAN</par>
270115	I	<par>Loan from Indic, cf. *sūṅkara.</par>
270136	T	<par>LOAN</par>
270164	T	<par>The d of gadha should be dental, not retroflex (as seems to be indicated here)</par>
