rn	type	text
148762	I	<par>exemplary isolate to discuss.</par>
148767	I	<par>recon in DL p. 526.</par>
148768	T	<par>&lt; Tone *1.</par>
148769	T	<par>&lt; Tone *2.</par>
148808	I	<par>gloss = ILL? check form, correspondence.</par>
148833	I	<par>Check gloss.</par>
150031	T	<par>J. H. Lorrain (1907:229) glosses this word as &apos;to bring up; to tend; to rear; to keep; to support; to feed (as child, etc.).&apos;</par>
150179	I	<par>Used only in the elaborate expression <latinform>ənúʔ-enāi</latinform>. There is perhaps a connection with Jg. <latinform>ʔnāi</latinform> &apos;sticky; adhesive; pliable; elastic&apos; &lt; PTB<reconstruction>*ʔ/s-n(w)ay </reconstruction>[see JAM-GSTC #97], since the brain is sometimes perceived as a sticky object. Cf. Lahu <latinform>ú-nɔ̀ʔ-nɛ̂ʔ</latinform>.</par>
150179	T	<par>Used only in the elaborate expression <latinform>ənúʔ-enāi</latinform>. Perhaps related to Jingpho <latinform>ʔnāi</latinform> &apos;sticky; adhesive; pliable; elastic&apos;, since the brain is sometimes perceived as a sticky object.</par>
441366	T	"<par>Yi <latinform>a³³ŋa⁵⁵</latinform> &apos;child&apos; (cf. <xref ref=""90"">#90</xref>).</par>"
