rn	type	text
44197	I	<par>Check initial C.</par>
44198	I	<par>finish analyzing.</par>
44207	T	<par>Galo seems to show an alternation between <latinform>bu</latinform> and <latinform>pa</latinform>. If these are indeed allofams, it would support the reconstruction of a rising diphthong <latinform>*-wa-</latinform>.</par>
44217	I	<par>s2 &lt; 284?</par>
44240	I	<par>BP pfx?</par>
44241	I	<par>BP pfx?</par>
44242	I	<par>181??</par>
44261	I	<par>2d syll was tagged by MLJ--check.</par>
44272	I	<par>=elephant+?</par>
44376	I	<par>check.</par>
44377	I	<par>check.</par>
44378	I	<par>check.</par>
44379	I	<par>check.</par>
44624	I	<par>Check gloss’ s spelling; should it be “beneficent” ?</par>
44624	I	<par>Check gloss’ s spelling; should it be “beneficent” ?</par>
44861	T	<par><latinform>lii</latinform> appears in the words for various breeding animals in Galo:  <latinform>ho◦lii</latinform> &apos;breeding mithun&apos;, <latinform>rog◦lii</latinform> &apos;breeding fowl&apos;, <latinform>rəg◦lii</latinform> &apos;breeding pig&apos;, <latinform>bin◦lii</latinform> &apos;breeding goat&apos;, <latinform>jab◦lii</latinform> &apos;breeding duck&apos;, and <latinform>ə◦lii</latinform> &apos;breeding cow&apos;.  It also appears in <latinform>a◦lii</latinform>, which has a number of apparently related glosses: &quot;heritage&quot;, &quot;clan&quot;, &quot;seed (heirloom)&quot;, &quot;seed&quot;, &quot;lineage&quot;, and &quot;breeder&quot;. lii also appears in the compounds <latinform>lii◦luk</latinform> &quot;reborn&quot;, <latinform>lii◦nam</latinform> &quot;fruit (v.i.)&quot;, <latinform>lii◦nam</latinform> &quot;propagate&quot;.  <latinform>-lii</latinform> is glossed as &quot;new (adj.)&quot;; this may be related to the morpheme that appears in the words for breeding animals.  <latinform>lii</latinform> also appears in various words for easily spread diseases:  <latinform>ci◦lii-ram◦lii</latinform> &quot;epidemic&quot;, &quot;virus&quot;, <latinform>hi◦lii</latinform> &quot;plague&quot;,<latinform>buu◦lii</latinform> &quot;plague (of rats)&quot;, <latinform>rɨ◦lii</latinform> &quot;plague&quot;, &quot;communicable disease&quot;, &quot;epidemic&quot; ; this may be related to the &quot;propagate&quot; sense of <latinform>lii</latinform>. [Liberty Lidz]</par>
45087	I	<par>The analysis for the record below is incomplete because it was entered when the analysis field was 10 characters. Perhaps it should be 189,124,191,104--MLJ.</par>
45503	I	<par>599 for second syll.?</par>
45722	T	<par>Galo <latinform>ŋak</latinform> &apos;call&apos;; <latinform>nam</latinform> NOMINALIZER.</par>
45732	I	<par>3d syll. was tagged with non-existent #9002.</par>
45732	I	<par>Should 2d syll. be retagged?</par>
