rn	type	text
64596	I	<par>hypothesized tag.</par>
64615	I	<par>As above. <emph>ADD DIVISION TO DBASE</emph></par>
64676	I	<par>Check - should be uner <reconstruction>*gzuk</reconstruction> (4) ‘BODY.’ </par>
64712	I	<par>cf. below 3x at ^^ M3: 316? Div.?</par>
64749	I	<par>vowel correspondence?</par>
65114	I	<par>Check gloss--n. or v.?</par>
65277	I	<par>What is (N)?</par>
65816	I	<par>TGTM *mring is &apos;wife&apos;<br />&apos;make wife&apos;</par>
65816	T	<par><latinform>mrĩ</latinform> &apos;wife&apos; + <latinform>la baq</latinform> &apos;do&apos; (lit. &quot;make into a wife&quot;).</par>
65937	I	<par>1st syll. was tagged with now-defunct #94 <latinform>pi</latinform> GIVE BIRTH.</par>
66181	T	<par>Gurung <latinform>pʰi</latinform> &apos;peel, bark (n.)&apos;.</par>
147461	I	<par>ref to glover 72 is :<br />XXII.B.26</par>
