rn	type	text
127153	I	<par>This record duplicates RN 127258.</par>
127153	I	<par>This record duplicates RN 127258.</par>
127180	I	<par>&lt;Chinese?</par>
127192	T	<par>=mouth+skin</par>
127205	I	<par>The second syllable means &apos;water&apos;.</par>
127257	I	<par>Should all the Tujia dialects’ words for MUSCLE be grouped under the same etymon?</par>
127259	I	<par>Both from 458?? <emph>phu</emph> as above?</par>
127263	I	<par>1734? 1381? (M1: 1381??)</par>
127264	I	<par>BP pfx?-cf. earlier <latinform>aŋ</latinform><latinform>.</latinform>  <latinform>ŋa</latinform>--as above?</par>
127266	I	<par>M1/2: B from Ch. (2102, 1019?); note <latinform>li; </latinform>M2 = 779? M3 = 1381?</par>
127268	I	<par>=urine+water</par>
127270	I	<par>see <emph>se</emph> etc. M2: 2104 or 164?</par>
127271	I	<par>M2: 191?</par>
