rn	type	text
35330	I	<par>Is it the first syllable or the third (or neither) that should be tagged 127 <latinform>s-yup⪤s-yip</latinform> “sleep” ?</par>
35336	T	<par>Idu -<latinform>ji</latinform>- probably a causative morpheme.</par>
35374	I	<par>initial consonant is affricate.</par>
35485	I	<par>cf. Milang.</par>
35545	I	<par>&lt; *kwaŋ?</par>
35554	I	<par>More division?</par>
35562	I	<par>Cf. Galo, Milang, Tagin.</par>
35591	I	<par>BP pfx? <latinform>co</latinform> = <latinform>ka(t)</latinform>? <latinform>bra</latinform>: cf. SPLEEN p. 24 #35731 (and <latinform>bri</latinform> end p. 24)</par>
35641	I	<par>But cf. the <latinform>ro</latinform> in Hair(pin). Same morph?</par>
35683	T	<par>Cf. Dumi <latinform>lumdima</latinform> &quot;second born&quot;.</par>
35713	I	<par>but cf. the vowel in BONE.</par>
35718	I	<par>Which syllable (if either) is from this ety. root?</par>
35731	I	<par>Division? M2: 1320? M3: cf. KIDNEY: <latinform>-bra</latinform> p. 28</par>
35736	I	<par>M2: 2118?</par>
35767	I	<par>The last syll. a Tani suffix? Cf. Darang</par>
