rn	type	text
130017	I	<par>Meaning of slash?</par>
130030	I	<par>2d syl was tagged 386.</par>
130072	T	<par>For the same ‘tooth’ + ‘flesh’ combination, cf. Chinese <latinform>yá ròu</latinform> ‘gums’.</par>
130112	I	<par>M2 = 483?</par>
130112	I	<par><latinform>te</latinform>: prefix? (as earlier); M1 = 483? 485?</par>
130148	I	<par><latinform>te</latinform>: prefix? (as earlier)</par>
130233	I	<par><latinform>tʃiwjo</latinform> means &apos;fish&apos;.</par>
130235	I	<par>The final -m is unexplained.</par>
130236	T	<par>The final <latinform>-m</latinform> in rGyalrongic <latinform>tʂɐm</latinform> is unexplained.</par>
130253	I	<par>Or 293? (tsu); division? as above</par>
130260	I	<par>M2: p? or 1013? M3: 1388? See above 10146 etc.</par>
130261	I	<par><latinform>tə</latinform> = pfx? M2: or 2122?</par>
130262	I	<par>M1: 1390?--perh. 1388?</par>
130263	I	<par>1390?? no division of M4 r-kho?. <latinform>qo</latinform> cf. earlier?? (or throughout prfx?)</par>
130264	I	<par>Division?</par>
130268	I	<par><latinform>t</latinform><latinform>ə:</latinform> cf. <latinform>ti</latinform> etc. above and earlier</par>
130269	I	<par><latinform>te</latinform>: prefix? (as earlier)</par>
130270	I	<par><latinform>tə</latinform><latinform> </latinform>pfx?</par>
130271	I	<par>M1: Cf. earlier prefix; division (<latinform>laŋ-tse</latinform>: 191,574)?</par>
130278	I	<par>Loan (?) from WT <latinform>mtshan</latinform> ‘mark, token, badge; genitals’—see Jäschke p. 454.</par>
130319	I	<par>M1 = 2102??</par>
130320	I	<par>Division: <latinform>m-nek-she</latinform>? M3 = 1390?</par>
