rn	type	text
621475	O	<par>includes noise of crows and roosters</par>
621487	O	<par>fat-water</par>
621489	O	<par>wood-skin</par>
621504	O	<par>NEG-be.good</par>
621507	O	<par>/e¹-kju³-uʔ³/ ?</par>
621509	O	<par>probably sambar deer</par>
621511	O	<par>foot-print</par>
621526	O	<par>wood-fruit</par>
621535	O	<par>come-way?</par>
621540	O	<par>field-face</par>
621553	O	<par>assimilates in place to following consonant</par>
621560	O	<par>digit-?</par>
621577	O	<par>used for making cotton yarn</par>
621596	I	"<par>Possibly from <xref ref=""7181"">#7181</xref>, though PTB <reconstruction>*s-</reconstruction> usually &gt; Lotha <latinform>th-</latinform></par>"
621598	O	<par>be.painful-variety</par>
621615	O	<par>upper range variant</par>
621616	O	<par>lower range variant</par>
621627	T	"<par>cf. <xref ref=""6595"">#6595</xref></par>"
621634	O	<par>e.g. roll down a hill</par>
621635	O	<par>e.g. lead a child or blind person</par>
621642	O	<par>figuratively (as leading an organization) or wrt. diverting water (see &apos;irrigated field&apos;)</par>
621643	O	<par>water-lead(v.)-field</par>
621644	O	<par>i.e., the non-meat ingredients in a curry</par>
621655	O	<par>mouth-hair</par>
621657	O	<par>strike-INSTR</par>
621678	O	<par>digit-main</par>
621679	O	<par>digit-point(v.)</par>
621689	O	<par>salt-hole</par>
621691	O	<par>described as some small thing near/in the lungs of a chicken that is discarded while butchering</par>
621701	O	<par>be.old([son])-MNOM-suf. ?</par>
621702	O	<par>be.old([son])-FNOM-suf. ?</par>
621707	O	<par>Indic loan</par>
621708	O	<par>sleep-LOC</par>
621710	O	<par>write-INSTR</par>
621711	O	<par>leaf-curry</par>
621718	O	<par>mouth-skin</par>
621735	O	<par>cloth-house ?</par>
621740	O	<par>or /ve²loŋ¹əʔ³/ ?</par>
621741	O	<par>digit-?</par>
621755	O	<par>/tso²-lo³-uʔ³/ ?</par>
621773	O	<par>house-?</par>
621778	O	<par>i.e., cut by sawing</par>
621779	O	<par>or /me³ru³-/ ?</par>
621787	O	<par>could be /tsok²-(k)at²/</par>
621799	O	<par>yesterday-?</par>
621807	O	<par>flee-[a]-go.away</par>
621812	O	<par>e.g. the branches of a tree reside in this space</par>
621823	O	<par>time look-INSTR</par>
621852	T	<par>Indic loan</par>
621856	O	<par>louse-egg</par>
621884	O	<par>worship-group?</par>
621886	O	<par>/e-kjo-uʔ/ ?</par>
621889	O	<par>sit-LOC</par>
621892	O	<par>Indic loan</par>
621905	O	<par>lit. &quot;one who eats with left hand&quot;</par>
621908	O	<par>NEG-V-[han] &quot;not yet V&apos;ed&quot;</par>
621911	O	<par>white.man-language</par>
621921	O	<par>Indic loan</par>
621935	O	<par>Indic loan</par>
621939	O	<par>lower range variant</par>
621940	O	<par>upper range variant</par>
621953	O	<par>ashes-small</par>
621956	O	<par>dry-very.dry</par>
621980	O	<par>hill(y)-those.people</par>
621986	O	<par>fish-trap-INSTR</par>
622006	O	<par>Indic loan (Assamese <emph>ghon.ta</emph> &apos;bell&apos;)</par>
622011	O	<par>play(v.)-?</par>
622018	O	<par>nerves/strength-break</par>
622023	O	<par>e.g. pour water to flush away waste</par>
622030	O	<par>lower range variant</par>
622031	O	<par>used with NEG marking on verb</par>
622036	O	<par>NEG-listen</par>
622037	O	<par>stomach-inside-intestines ?</par>
622045	O	<par>book read-LOC</par>
