rn	type	text
489542	I	<par>Probable Indic loan, cf. Assamese gahori.</par>
489542	I	<par>This isn&apos;t a loan. ho- reflects PTB *s(y)a-, and rə- &lt; PT *ra, cf. Pasi sira &apos;boar; wild pig&apos;.</par>
489543	I	<par>Possible Indic loan, cf. Assamese gahori, suwor.</par>
489543	I	<par>This is an irregular form, but probably not a loan (what would the source be?). It looks more like a carryover from taboo, hunting, or ritual language, possibly reflecting substrate vocabulary.</par>
490135	I	<par>hɨɨbo means &apos;tree&apos;, &apos;treetop&apos;.</par>
491634	T	<par>This entry was extracted from the index. Full definition: “<latinform>alə</latinform> <emph>n.</emph> good thing; merit.&quot;</par>
492387	I	<par>hɨɨbo means &apos;tree&apos;, &apos;treetop&apos;.</par>
492946	I	<par>hɨɨbo means &apos;tree&apos;, &apos;treetop&apos;.</par>
494264	I	<par>This is a bit of a strange form, and not well-attested in Tani. It would be interesting if it were a loan, but from what lg?</par>
495765	I	<par>Probable Indic loan, cf. Assamese gahori.</par>
495766	I	<par>Possible loan from Indic, cf. Assamese gahori, suwor. cf. 161076</par>
