rn	type	text
120421	I	<par>Cf. 10511 <latinform>mə</latinform><latinform>ùl kən</latinform> above?--THROUGHOUT??</par>
120519	T	<par>The relationship between the apparent Hayu doublet, <latinform>-pɪ</latinform> and <latinform>-(m)be</latinform>, is not clear.</par>
120819	I	<par>Division? M1: add LUNG to 1387 gloss? M2: <latinform>ti</latinform> also 1387?</par>
120974	I	<par>note <latinform>-t</latinform>.</par>
121001	I	<par>Check gloss--’ cock’ s comb’ ?</par>
121001	I	<par>Check gloss.</par>
121025	I	<par>First syllable isolate or Proto-Him?</par>
121173	I	<par>where syll break?</par>
121411	I	<par>This appears to be the only form in this source with a tone mark. Form changed from <latinform>le 22s</latinform> to <latinform>le²²ˢ</latinform> on 29 Nov 2011.</par>
121664	I	<par>Check in BM.</par>
