rn	type	text
122939	I	<par>FLESH? 585?</par>
122964	I	<par><latinform>pə</latinform>: cf. ba above. <emph>ADD DIVISION TO DBASE</emph></par>
123007	I	<par>satiated?</par>
123017	I	<par>First syll = 231?</par>
123046	I	<par>M1: 92? p = s? (<latinform>ke</latinform> + <latinform>p-pa</latinform>)</par>
123050	I	<par>?</par>
123051	I	<par>227?</par>
123052	I	<par>see <emph>kum</emph> below</par>
123096	I	<par>Reflex had been changed to <plainlatinform>su²¹ka⁸</plainlatinform>, which doesn&apos;t appear to follow copy. Reverted to original on 20110906. </par>
123124	I	<par>Possible loan from Indic, cf. *sūṅkara.</par>
123612	I	<par>la-pa is the verb &apos;to do&apos; in the present tense</par>
123641	I	<par>Possibly from Nepali.</par>
123643	I	<par>BP pfx?</par>
124140	I	<par>vowel is funny.</par>
124161	I	<par>Perhaps 2d, 4th sylls&gt;1812.</par>
124379	I	"<par>The <latinform>-T</latinform> in this Sahu form is evidently due to assimilation to the initial of the following syllable; for this reason, we are not assigning it to <xref ref=""5537"">#5537</xref>.</par>"
124379	T	<par>Final consonant in Sahu <latinform>cʰuT</latinform> evidently due to assimilation to the initial of the following syllable.</par>
