rn	type	text
15441	I	<par>Simplex.</par>
15442	T	<par>Lashi form is a causative.</par>
15528	I	<par>M1 = CHICKEN (JAM); <emph>M3 = STOMACH</emph></par>
15545	I	<par>2d syll. was tagged with now-defunct #461* [sic] <latinform>r-k(y)aŋ ~ k-r(y)aŋ</latinform> MARROW.</par>
15561	I	<par><latinform>&lt;*bwat</latinform></par>
15594	I	<par>why is this identical to 13840?</par>
15599	I	<par>First two sylls = <gloss>Underarm.</gloss></par>
15601	I	<par>First syll = LEG.</par>
15622	I	<par>second syll = 372?</par>
15626	I	<par>second syll = 536?</par>
15628	I	<par>2d syll. was tagged with now-defunct #461* [sic] <latinform>r-k(y)aŋ ~ k-r(y)aŋ</latinform> MARROW.</par>
15637	I	<par>M1: should be same Etym. as <latinform>sa</latinform>?</par>
15639	I	<par>typo (JAM)? + BP prfx? M2: <latinform>naŋ</latinform> INSIDE (2118)?</par>
15644	I	<par>315 or 2103?</par>
15659	I	<par>Lashi <latinform>tso³³</latinform> and Maru <latinform>tsɔ³⁵</latinform> mean &apos;child&apos;.</par>
