rn	type	text
56238	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
56239	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
56239	T	<par>Not a Chinese loan; regular reflex of pKaren *gamB</par>
56240	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
56241	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
56242	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
56283	I	<par>1320? (=SPLEEN)</par>
56285	I	<par>1320? (=SPLEEN)</par>
56288	I	<par>or 1320?</par>
56290	I	<par>1320? (=SPLEEN)</par>
56635	I	<par>or 2122?</par>
56636	I	<par>1390/2122?</par>
56638	I	<par><emph>(header: remove &quot;Other NonST language) (JAM)</emph>see p. 17</par>
56639	I	<par>JAM:fvuq = ƒ\\o and taq = -ƒ\\a of Bwe above.</par>
56640	I	<par>or 2122?</par>
56641	I	<par>1390/2122?</par>
56642	I	<par>JAM: Note: strange vowel correlation.</par>
57003	I	<par>or <emph>*wu </emph>2102?</par>
57005	I	<par>or <emph>*wu </emph>2102?</par>
57006	I	<par>2102 or 2104 or 164 or 2106?</par>
57007	I	<par>2102 or 2104 or 164 or 2106?</par>
57009	I	<par>2106?</par>
57010	I	<par>or <emph>*wu </emph>2102?</par>
57011	I	<par>2102 or 2104 or 164 or 2106?</par>
57012	I	<par>2102 or 2104 or 164 or 2106?</par>
57129	I	<par>M1: or 2106? (if expand gloss). M2: or 2104?? or 311? or 315?</par>
57131	I	<par>ditto</par>
57132	I	<par>ditto</par>
57362	I	<par>or <emph>*wu </emph>2102?</par>
57363	I	<par>or 2102?</par>
57364	I	<par>M2 = 674 or 2111?</par>
57369	I	<par>or <emph>*wu </emph>2102?; M2 = 674 or 2111?</par>
57651	I	<par><emph>DIVISIONS</emph></par>
57790	I	<par>Rhyme is OK, but <latinform>n-</latinform> initial is unexplained. Check Karen reflexes of <reconstruction>*-am</reconstruction>, Maybe this form goes with Tangsa <latinform>³ñʌm-¹sa(ʔ).</latinform></par>
57790	I	<par>Should this be tagged 1900?</par>
57794	I	<par><reconstruction>*b-ram</reconstruction>??</par>
57824	I	<par>1322? (from <latinform>geli</latinform> below) or 1320? (=SPLEEN) <emph>(FIX GLOSS?)</emph></par>
57835	T	<par>These Karenic forms are assigned to this set because of the final glottal stop in Weidert&apos;s Pwo (Bassein) form.</par>
57851	I	<par>should these Karen forms (RBJ-KLS 39) be related to the PMK <reconstruction>*suːk</reconstruction>? cf. RBJ p. 119. handwritten note.</par>
57904	I	<par>or <emph>*wu </emph>2102?</par>
57962	I	<par>BREATH &lt;--&gt; HEART in Karenic.</par>
