rn	type	text
128354	T	<par>Original <latinform>*lis-pə</latinform> &gt; Ergong <latinform>li³³spə⁵³</latinform> by comparison with <latinform>mək³³spə⁵³</latinform> ‘body hair’ .</par>
128370	I	<par>compare 1st syll of Q Taoping ‘wake up’ .</par>
128428	I	<par>exemplary isolate. Also sim. rGy (NW) form. Is this form correct?</par>
128462	I	<par>rtse: cf. p. 43</par>
128601	I	<par>First syll = 234?</par>
128617	I	<par>Division? (both) or 2 pfxs (r, z)? Cf. above. M4 = 65?</par>
128624	I	<par>Division? 1388?</par>
128626	I	<par>M1 = 1013?</par>
128626	I	<par>M1: p? or 1013? M2: 1388? (See above 10146 etc.)</par>
128630	I	<par><emph>NEST: see Zev</emph></par>
128630	I	<par>second syll = NEST.</par>
128631	I	<par>(as above): rel. to <reconstruction>*ria</reconstruction>?</par>
128635	I	<par><latinform>ti</latinform>: cf. <latinform>t(retro)i</latinform> above, etc. M1(l): cf. <latinform>le, ly</latinform>, etc. earlier?? Division l-tiak?</par>
128636	I	<par>Word 1: = SPLEEN</par>
128637	I	<par>M2: cf. p. 27, p. 12. (Div.?)</par>
128638	I	<par>M1: or 2111?</par>
128642	I	<par>Div? 191?</par>
128653	I	<par>Literally, TESTICLE + NEST. </par>
128656	I	<par>First syllable is “penis” . Compare second syllable with Thulung form <latinform>lasa</latinform>.</par>
128698	I	<par>1388? 2dM2: 1385?</par>
