rn	type	text
450375	T	<par>Placement of diacritic in original (Coupe 2007: 490).</par>
450529	I	"<par>cf. <xref ref=""3327"">#3327</xref></par>"
450532	I	"<par>cf. <xref ref=""4924"">#4924</xref></par>"
450565	T	<par>Coupe revises this to <latinform>tijuŋ</latinform> (/<latinform>tə-juŋ</latinform>/) (p.c. Daniel Bruhn, 2013).</par>
450622	T	<par>Although the second syllable of this Mongsen Ao form, <latinform>tə-sə-maŋ</latinform>, appears to reflect the PTB <latinform>*s-</latinform> prefix, in reality the form is a compound of the roots <latinform>sə</latinform> &apos;die&apos; and <latinform>maŋ</latinform> &apos;body&apos;, with the nominal prefix <latinform>tə-</latinform>.</par>
450632	I	"<par>Cf. <xref ref=""4269"">#4269</xref></par>"
450669	I	"<par>cf. <xref ref=""4539"">#4539</xref></par>"
450765	I	<par>Literally &apos;fish&apos; + &apos;skin&apos;.</par>
450868	I	"<par>cf. <xref ref=""5212"">#5212</xref></par>"
450877	I	<par>Apparently homophonous with &apos;center&apos;.</par>
450952	I	<par>Literally &apos;mouth&apos; + &apos;skin&apos;.</par>
450957	T	<par>Ao drums are made from large, hollowed-out tree trunks (cf. Mills 1926).</par>
451007	I	"<par>cf. <xref ref=""5315"">#5315</xref></par>"
451029	I	"<par>cf. <xref ref=""4213"">#4213</xref></par>"
451076	I	"<par>cf. <xref ref=""4552"">#4552</xref></par>"
451114	T	<par>This binome perhaps means MEAT + DISTRIBUTE.</par>
451128	T	"<par>Cf. <xref ref=""4826"">#4826</xref></par>"
451182	I	"<par>cf. PKC <latinform>*yuŋ</latinform> FINGER / TOE / ROOT (mesoroot of <xref ref=""320"">#320</xref>).</par>"
451293	I	"<par>cf. <xref ref=""4574"">#4574</xref></par>"
451327	T	<par>Cf. Khasi <latinform>sngi</latinform> &apos;sun; day&apos; (Singh 1906: 188).</par>
451444	T	<par>Original source contains <latinform>thijàʔ</latinform>, which Coupe has since corrected to <latinform>tihjàʔ</latinform> (p.c. to dwbruhn, 2012-07-14).</par>
451503	T	<par>Coupe revises this gloss to &apos;taro&apos; (p.c. Daniel Bruhn 2013).</par>
