rn	type	text
144701	I	<par>Check source.</par>
144702	I	<par>was tagged as 1140, but that root has been eliminated.</par>
144703	T	<par>Akha <latinform>aˇ sehˇ /</latinform> Lahu <latinform>ɔ̀-šɛ̄</latinform>~<latinform>ɔ̀-šɛ ↭ *ša</latinform>.<reconstruction>*sa &gt; </reconstruction>Lh.<latinform>ša</latinform>.<reconstruction>*ša = *sya &gt; </reconstruction>Lh.<latinform>šɛ</latinform>.</par>
144703	T	"<par>Cf. Lahu <latinform>ɔ̀-šɛ</latinform> ‘special portion; prime cut’ [DL 207] <latinform>⪤ ɔ̀-šɛ̄-phâ</latinform> (-<latinform>ma</latinform>) man&apos;s (woman&apos;s) body [DL 207] perhaps allofam of <reconstruction>*sǎ</reconstruction> <xref ref=""34"">#34</xref>.</par>"
144705	I	<par>1st syllable “person” &lt; PLB <reconstruction>*tsaŋ¹</reconstruction>.</par>
144706	I	<par>1st syllable “person” &lt; PLB <reconstruction>*tsaŋ¹</reconstruction>.</par>
144707	I	<par>1st syllable “person” &lt; PLB <reconstruction>*tsaŋ¹</reconstruction>.</par>
144711	I	<par>Jg. <latinform>khùm</latinform> reflects a separate etymon.</par>
144718	I	<par>What is this PC source? JAM says shource should be DQ-Dico. This may be part of a larger problem that needs to be addressed.\-</par>
144731	I	<par>Why is initial unaspirated?</par>
144733	I	<par>gloss?</par>
144740	I	<par>2d element apparently “kill”  previously analyzed as 150.</par>
144741	I	<par>WT sang tomorrow. Jas. p. 571.</par>
144741	I	<par>ZHDCD (= source? Not in Jäschke)</par>
144743	I	<par>This form was tagged 148,3. Error somewhere? Check original form.</par>
174693	I	<par>First syll related to mortar. cf. GSR 1067a</par>
283004	I	<par>PC from Zev at STEDT. Not in GSR 704. This reconstruction is according to Karlgren&apos;s system. The character in question has the same reading as 704a except that the MC tone is shang-sheng.</par>
283005	I	<par>PC from Zev at STEDT. Not in WHB. This reconstruction is according to Baxter&apos;s system. The character in question has the same reading as <latinform>sèmdash ang</latinform> &apos;mulberry&apos; (which appears in his index of Shijing rhyme words) except that the MC tone is shang-sheng.</par>
