rn	type	text
131855	I	<par>M1 and M3: 649 or 650, or 653?? M2: 779 or other?</par>
131862	I	<par>Second syll = STRING?</par>
131870	I	<par>cf. Dafang (Guizhou) <latinform>ʑo³ </latinform>&apos;be born.&apos;</par>
131932	T	<par>Sani <latinform>ɬɯ²¹</latinform> &apos;to let go, release&apos;.</par>
131953	I	<par>M1: or 1019? Long tag: M3: 1384? or 188? or 185??</par>
131954	I	<par>1384? See below</par>
131963	T	<par>Sani <latinform>ɪ²¹ pɪ³³</latinform> &apos;stomach&apos;.</par>
131968	I	<par>315 or 2102?</par>
132020	I	<par>Or 1384?</par>
132048	I	<par>Second syll = STRING?</par>
132070	I	<par>M2=s or 1384:use 1384 (JAM)</par>
132076	I	<par>Sani <latinform>ɪ²¹ pɪ³³</latinform> ‘stomach’ </par>
132095	T	<par>The Sani forms <latinform>tɕhe³³tʂɒ³³</latinform>, <latinform>tɕhe⁴⁴tʂɑ³³</latinform>, <latinform>tɕʰe³³ tʂɑ³³</latinform> are puzzling, since either syllable is a plausible reflex of this root. Perhaps two Sani variants have developed, one (with aspirated initial) &lt; <reconstruction>*kyak</reconstruction>, meaning &apos;navel&apos;; and the other (with unaspirated initial) &lt; <reconstruction>*gyak</reconstruction>, meaning &apos;cord&apos;.</par>
