rn	type	text
74027	I	<par>First two syll = BACK.</par>
74480	T	<par>Note the assimilation of the medial consonants.</par>
74642	I	<par>Was tagged with now-defunct #93 <latinform>l-ta(m/p)</latinform> BORN/FULL.</par>
74705	I	<par>2d syll. was tagged with now-defunct #1132 <latinform>tšaŋ</latinform> BODY/PERSON.</par>
74705	I	<par>check source</par>
74706	I	<par>Division? M = <latinform>tə</latinform><latinform> </latinform>pfx earlier?</par>
74849	T	"<par>PTB <reconstruction>*-aŋ</reconstruction> seems to yield Limbu <latinform>-o(ː)ŋ</latinform> in other cases, e.g. BORN <xref ref=""70"">#70</xref> &gt; Lb. <latinform><emph>poːŋ</emph>-maʔ</latinform>.</par>"
74854	I	<par>Form?</par>
75170	I	<par>&lt;IE?</par>
75170	I	<par>Is this form correct? The form on the BM card reads “<latinform>maːt- (maːrɛ/maːt)</latinform> | to run out, to die” </par>
75515	T	<par>Note assimilation of the medial consonants in Limbu <latinform>thim ba</latinform>.</par>
75611	I	<par>error? Should this be <latinform>waraŋ</latinform>?</par>
75660	I	<par>M2 = 572? or 228?</par>
75788	I	<par><latinform>siwet</latinform> = &apos;dead&apos;, <latinform>ku</latinform> <latinform> ̉</latinform> 3d pro</par>
75844	I	<par>1390?</par>
75900	I	<par>v.i.</par>
75902	I	<par>v.t.</par>
75989	I	<par>M1:227? M2:?. <emph>k&gt;h in LIMBU(cf.nxt)?</emph> division?</par>
