rn	type	text
2213	I	<par>prefix?</par>
2451	T	<par>Mikir <latinform>bar</latinform> &apos;come out, exude&apos; (cf. <latinform>bar-pi</latinform> ‘shit’).</par>
2451	I	<par><latinform>?⪤? -bàal</latinform> as in <latinform>lu-bàal </latinform>‘filth’.</par>
2478	I	<par>M2: or from <latinform>mak</latinform> 1384? <latinform>swn</latinform> = 1390 or 66?</par>
2500	I	<par>BP pfx? M2: 1390?? M3: or 1319?</par>
2553	I	<par>1322 or 201? See KIDNEY = SPLEEN</par>
2554	I	<par>1322 or 201? See KIDNEY = SPLEEN</par>
2555	I	<par>BP pfx? <latinform>lɯ</latinform> = cf. <latinform>ly</latinform> etc. earlier</par>
2609	I	<par>Loss of initial no prefix preemption.</par>
2610	I	<par>Is 1st “syllable” an error? Check source.</par>
2622	T	<par>Angami <latinform>²the-</latinform> sometimes reflects prefixal <reconstruction>*s-</reconstruction>.</par>
2644	I	<par>remove division?</par>
2693	I	<par>from Nepali?</par>
2695	I	<par>cf. Chinese <latinform>nǎo sǔi</latinform>, BRAIN.</par>
2899	O	<par>lit. flesh-meat, cf. <latinform>mʌ́i</latinform> &apos;meat&apos; in Tamlu-Konyak [Weidert 1987: 41].</par>
2964	I	<par><emph>dze</emph></par>
3051	I	<par>Different analysis from AW’ s. Remove brackets?</par>
3057	I	<par>Does second syll = BODY?</par>
3134	I	<par>Paang is actually <emph>Paangkhua</emph> (Chin), Check lg name list if <emph>Paang</emph> is valid alternate name.</par>
3208	T	<par>The development posited here is <latinform>*kr</latinform> &gt; <latinform>*hr</latinform> &gt; <latinform>h</latinform>.</par>
3250	I	<par>1st syll is pfx</par>
3463	I	<par>Note the final <latinform>-t</latinform>; check form in Zaiwa jianzhi.</par>
3464	I	<par>Why isn’ t this form <reconstruction>*šit</reconstruction>? Check Burling “PLB” .</par>
3466	I	<par>The macron is here meant to indicate mid-level tone 33 (&lt; *1); not as in JAM’ s Lahu transcription where it would indicate low-level tone 11 (&lt; *2).\-</par>
3600	I	<par>Nocte <latinform>³pa²kʌm(ʔ)</latinform>. First syll from <reconstruction>*s/p-wa</reconstruction> (632) or <reconstruction>*ba</reconstruction> &apos;cheek&apos;?</par>
3767	I	"<par>The <latinform>tl-</latinform> cluster in this Miju form looks like a reduction of the disyllabic sequence <latinform>tɯ-lai</latinform> (cf. <latinform>pɑ³¹ tɯ³¹ lɑi⁵⁵</latinform> &apos;center&apos;). This disyllabic form in turn is susceptible of two interpretations. Either it is a two-morpheme sequence where the first element is &lt; <reconstruction>*du</reconstruction> NAVEL/UMBILICAL CORD (i.e. &lt; <reconstruction>*du-laːy</reconstruction>; see below), or more plausibly it, as well as the first consonant in the monosyllabic form <latinform>tlái</latinform>, is simply a reflex of the <reconstruction>*s-</reconstruction> prefix (<reconstruction>*s-laːy</reconstruction> &gt; <latinform>tlái</latinform>, or <reconstruction>*s-laːy</reconstruction> &gt; <latinform>tɯ-lai</latinform>). See also the Bantawa, Kham, and Lakher (Mara) reflexes with <latinform>tl-</latinform> in this section, as well as the WT form with <latinform>lt-</latinform>, under <xref ref=""519"">#519</xref>.</par>"
3767	T	<par>The <latinform>tl-</latinform> cluster in this Miju form looks like a reduction of the disyllabic sequence <latinform>tɯ-lai</latinform> (cf. <latinform>pɑ³¹ tɯ³¹ lɑi⁵⁵</latinform> &apos;center&apos;).</par>
3770	I	"<par>The <latinform>tl-</latinform> in the last syllable seems to be the reflex of the <reconstruction>*s-l</reconstruction> cluster (cf. the Lakher [Mara] and Miju forms with similar initials). If the second syllable <latinform>-bu(y)-</latinform> were really just a fully vocalized reflex of a labial prefix <reconstruction>*bV-</reconstruction>, this form would reflect a doubly-prefixed prototype like <reconstruction>*b-s-lay</reconstruction> (cf. the Ashö Sandoway <latinform>hmlai</latinform> &lt; <reconstruction>*s-m-lay</reconstruction>). On the other hand, the second syllable seems to descend from a separate etymon (perhaps <xref ref=""164"">#164</xref> or <xref ref=""2111"">#2111</xref>), especially in view of Kham forms like <latinform>pũ:h-tali</latinform>.</par>"
3770	T	"<par>For Bantawa <latinform>tl-</latinform>, cf. Lakher [Mara] and Miju forms with similar reflexes of <xref ref=""517"">#517</xref>.</par>"
3814	I	<par>first syl = <latinform>p</latinform>?</par>
3832	I	<par>C? Div?</par>
3833	I	<par>or 228?</par>
3834	I	<par>M2: (or even 209??) (prob. not 572)</par>
3835	I	<par>BP pfx? M2: or 227?</par>
3836	I	<par><latinform>¹šə¹gri. </latinform>M1: 1390 (on basis of previous) or just p?</par>
4183	I	<par>doubtful reflex of <reconstruction>*s-ŋa</reconstruction> 634.</par>
4388	I	<par>-k suffix as in Sinitic.</par>
4389	I	<par>-k suffix as in Sinitic.</par>
4389	I	<par>-k suffix as in Sinitic.</par>
4555	I	<par>see Langsu, Bantawa, Rongmei.</par>
4575	T	<par>This word is not to be found in the dictionaries of Judson 1893/1953/1966 or Bernot 1978-92.</par>
4593	I	<par>erroneous</par>
4598	I	<par>Is first syll &lt;Shan? Compare #144700.</par>
4598	I	<par>2d syll. &lt;Skt. First syll &lt; Shan?</par>
4883	T	<par>This is evidently a loan into Lahu; the high falling tone is anomalous, since it does not occur after /h/ in native words. Furthermore, the rhyme <latinform>*-ya</latinform> should yield Lahu <latinform>-ɛ</latinform>.</par>
4924	I	<par>My Ao consultants say this means &apos;sky&apos;, and that no one they know is familiar with the alleged &apos;year&apos; meaning. Even Clark 1911 has nothing of the sort.</par>
5183	I	<par>Check Weidert--save FN.</par>
5236	I	<par>BP pfx? <latinform>the</latinform> = <latinform>tə</latinform> (but us. pfx?)? <latinform>sie</latinform>: <latinform>sin</latinform> (1390)?</par>
5237	I	<par>M2: could be 66 but not make sense. 1390? 2122??</par>
5238	I	<par>BP prfx? M2: 1390 or 2122?</par>
5239	I	<par>BP pfx? + *tin/sin??</par>
5240	I	<par>not 1390-1390? or BP pfx? M2: or 2113??</par>
5241	I	<par>?; BP pfx? M2: 1390 or 2122?</par>
5242	I	<par>66??</par>
5243	I	<par>BP pfx? M2: could be 66 but not make sense. 1390? 2122??</par>
5244	I	<par>M2: could be 66 but not make sense. 1390? 2122??</par>
5246	I	<par>M1: 1384 or 1106 or 1107??</par>
5247	I	<par>1107? and 2nd 1107 or s?</par>
5248	I	<par>s or 1107 or 1106?</par>
5249	I	<par>181/229? 1107--or 1106? or s?</par>
5272	I	<par>Liangmei <latinform>ma-rui</latinform>, Rengma <latinform>¹tʌ¹ro</latinform>, Rongmei <latinform>n-rûai</latinform>, Zemei <latinform>¹n⁵rui</latinform> prob. all mean FOWL (check Weidert).</par>
5338	I	<par>u is a body-part prefix in Angami</par>
5339	I	<par>u = BP pfx?. As two above.</par>
5340	I	<par>or 1387? (JAM: 1390)</par>
5341	I	<par>or reverse order cf. 42057 above?</par>
5392	T	<par>Angami <latinform>⁵u</latinform> is a general body-part prefix.</par>
5392	T	"<par>The vowel of Angami <latinform>²mie</latinform> seems an unlikely reflex of <reconstruction>*-o</reconstruction> (&lt; <xref ref=""1353"">#1353</xref>); yet the alternative of assigning this form to <xref ref=""547"">#547</xref> seems no better, since the regular Angami reflex of <reconstruction>*-ak</reconstruction> seems to be <latinform>-o</latinform> (e.g. WEAVE <reconstruction>*dak</reconstruction> &gt; Ang. <latinform>do</latinform>; ANT <reconstruction>*-rwak</reconstruction> &gt; Ang. <latinform>cho</latinform>).</par>"
5408	T	<par>There is some difficulty in interpreting these Naga forms from Weidert, since they are glossed literally as &quot;one&apos;s wing&quot;.</par>
5455	I	<par>Cf. Idu, Tagin, Milang.</par>
5475	I	<par>BP pfx?</par>
5476	I	<par>BP pfx? <emph>ki</emph></par>
5477	I	<par>BP pfx? 2125 and 2125? (i.e. twice)??</par>
5524	I	<par>cf. Magar</par>
5559	I	<par>M1: p; M2: 1387 or 1390?</par>
5560	I	<par>BP pfx?</par>
5573	I	<par>M2: 779?</par>
