rn	type	text
455631	I	<par>Loan from Chinese, cf. Chinese bànfǎ 辦法 &apos;means, method&apos;.</par>
455662	I	<par>Loan from Chinese, cf. Chinese báicài 白菜  &apos;Chinese cabbage, bok choy&apos;.</par>
455696	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
455701	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
456160	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
456161	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
456241	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
456282	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
456283	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
456284	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
456628	I	<par>Loan from Chinese, cf. Chinese kāi nián 開年.</par>
457039	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
457132	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
457165	I	<par>Loan from Chinese, cf. Chinese nián 年.</par>
457171	I	<par>Loan from Chinese, cf. Chinese niánzhū <hanform>年豬</hanform>.</par>
457785	I	<par>Loan from Chinese, cf. Chinese shǒubiǎo 手錶 ‘wristwatch’.</par>
457806	I	<par>Loan from Chinese, cf. Chinese suàn 算 &apos;calculate&apos;.</par>
457811	I	<par>Loan from Chinese, cf. Chinese suì 歲 &apos;year (of age)&apos;.</par>
458198	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
458233	I	<par>Loan from Chinese, cf. Chinese yězhū 野豬.</par>
458265	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
