rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
174711	172	*TGTM	ja	ja	also	also***		10.1.2.1	1	0		
174712	1456	Tamang (Risiangku)	-ja	-ja	also	also		10.1.2.1	1	0		
174713	1530	Thakali (Tukche)	-e	-e = =e = -e	also	also		10.1.2.1	1	0		
174714	172	*TGTM	ri	ri,ʰri	in	to***		10.1.1	2	0		
174716	1456	Tamang (Risiangku)	-ri	-ri	in (locative) / in (duration of	in (locative) / in (duration of		10.1.1	2	0		
174717	1003	Manang (Prakaa)	-ri	-ri	wake up	wake up		1.1.4	2	0		
174718	1456	Tamang (Risiangku)	u	u	smoulder	smoulder			3	0		
174719	600	Gurung	³u-	³u- = uh◦ba	cover	cover (v.)	v	5.8	3	0	HIDE	DUPE IN SOURCE
174720	1003	Manang (Prakaa)	³uː-	³uː-	cover	cover		5.8	3	0	HIDE	DUPE IN SOURCE
174721	172	*TGTM	ᴬu	ᴬu	cover	cover	v	5.8	3	0		2767
174722	1456	Tamang (Risiangku)	¹uː	¹uː	cave	cave		3.2.7	4	0		
174723	1462	Tamang (Sahu)	¹uː	¹uː = ¹uː	cave	cave		3.2.7	4	0		
174724	1530	Thakali (Tukche)	ᴴu	ᴴu = ᴴu = u	cave	cave		3.2.7	4	0		
174725	172	*TGTM	ᴬuː	ᴬuː	cave	cave***		3.2.7	4	0		
174726	1530	Thakali (Tukche)	³up	³up =lə = ³up=lə = uhp-lɔ	ripen (artificially), dry-ferment	ripen (artificially) / dry-ferme		3.1.10	5	0		
174727	600	Gurung	³u-	³u- = uh◦ba	cover	cover (v.)	v	5.8	5	0	D1	2767
174728	1003	Manang (Prakaa)	³uː-	³uː-	cover	cover		5.8	5	0	D1	2767
174729	172	*TGTM	ᴬup	ᴬup	cover	cover		5.8	5	0		2767
174730	1456	Tamang (Risiangku)	²up	²up	smother, steam sthg. (cooking)	suffocate / steam sthg. (cooking		1.1.6	6	0		
174731	1462	Tamang (Sahu)	²up	²up=pa = 'up-pa	brood	brood		2.2.4	6	0		2767
174732	172	*TGTM	ᴮup	ᴮup	brood, cover, smother	brood		2.2.4	6	0		2767
174734	1456	Tamang (Risiangku)	²um	²um	pile up in abundance (grain, ?	pile up in abundance (grain, ?		6.2.2.1	7	0		
174735	1530	Thakali (Tukche)	²um	²um =lə = ²um=lə = um-lɔ	rot / get rotten	rot / get rotten		3.1.10	7	0		
174736	172	*TGTM	ᴮum	ᴮum,ᴬʰjuː	pour	pour***		6.6	7	0		
174737	1456	Tamang (Risiangku)	¹ur	¹ur	yellow	yellow		9.4	8	0		eraseduplicate
174738	1456	Tamang (Risiangku)	¹ur	¹ur	yellow	yellow (v.)	v	9.4	8	0		5683
174739	1462	Tamang (Sahu)	¹ur	¹ur = ¹ur	yellow	yellow		9.4	8	0		5683
174740	1467	Tamang (Taglung)	ur	ur	yellow	yellow		9.4	8	0		5683
174741	1530	Thakali (Tukche)	ᴴur	ᴴur = ᴴur = ur	yellow	yellow		9.4	8	0		5683
174742	1524	Thakali (Marpha)	⁵⁵ur	⁵⁵ur	yellow	yellow		9.4	8	0		5683
174743	1526	Thakali (Syang)	⁵⁵ur	⁵⁵ur	yellow	yellow		9.4	8	0		5683
174744	600	Gurung	¹ur-	¹ur- = ur-gjaː	yellow	yellow		9.4	8	0		5683
174745	172	*TGTM	ᴬur	ᴬur	yellow	yellow***		9.4	8	0		5683
174746	1462	Tamang (Sahu)	²eː	²eː = ²eː	thou / you	thou /  you		10.2.3.1	9	0	HIDE	DUPE IN SOURCE
174747	1467	Tamang (Taglung)	e	e	you	you		4.1	9	0		
174748	172	*TGTM	ᴮeː	ᴮeː,ᴮek,ᴬgit,ᴬgip,ᴬgje,ᴬgi,ᴬgiː	you	you***		4.1	9	0		
174750	600	Gurung	⁴wi-	⁴wi- = wihbaq	call	call		8.5.13	10	0		
174751	1003	Manang (Prakaa)	⁴we-	⁴we-	call	call		8.5.13	10	0		
174752	172	*TGTM	ᴮwai	ᴮwai,ᴮot,ᴮwet,ᴮweː	call	call***		8.5.13	10	0		
174756	1456	Tamang (Risiangku)	¹ka	¹ka	thick	thick		9.7.2	11	0		5730
174757	1524	Thakali (Marpha)	⁴⁴'⁵⁵kʌ-wʌ	⁴⁴'⁵⁵kʌ-wʌ	thick (liquid)	thick (liquid)		9.7.2	11	0		5730,s
174758	172	*TGTM	ᴬka	ᴬka	thick	thick		9.7.2	11	0		5730
174759	1456	Tamang (Risiangku)	¹kaː	¹kaː	stop / block s.o.	stop (v.t.) / block s.o.	v.t.	6.7.11	12	0		
174760	1467	Tamang (Taglung)	ka-ba	ka-ba	stop (river)	stop (river)		6.7.11	12	0		
174761	1003	Manang (Prakaa)	¹kaː-	¹kaː-	stop	stop (v.t.)	v.t.	6.7.11	12	0		
174762	172	*TGTM	ᴬkaː	ᴬkaː	stop	stop (v.t.)***	v.t.	6.7.11	12	0		
174763	1456	Tamang (Risiangku)	²kaː	²kaː	blood	blood		1.6.2	13	0		231
174764	1462	Tamang (Sahu)	²kaː	²kaː = ²kaː	blood	blood		1.6.2	13	0		231
174765	1530	Thakali (Tukche)	ᴴka	ᴴka = ᴴka = ka	blood	blood		1.6.2	13	0		231
174766	1524	Thakali (Marpha)	⁵¹ka	⁵¹ka	blood	blood		1.6.2	13	0		231
174767	1526	Thakali (Syang)	⁵⁴ka	⁵⁴ka	blood	blood		1.6.2	13	0		231
174768	1526	Thakali (Syang)	⁵³kaː	⁵³kaː	blood	blood		1.6.2	13	0		231
174769	600	Gurung	²ko	²ko = koq	blood	blood		1.6.2	13	0		231
174770	1003	Manang (Prakaa)	²kaː	²kaː	blood	blood		1.6.2	13	0		231
174771	172	*TGTM	ᴮkaː	ᴮkaː	blood	blood***		1.6.2	13	0		231
174772	1456	Tamang (Risiangku)	²kaː	²kaː	eat up, stuff oneself (slang)	eat up / eat		1.5.3.2	14	0		1707
174773	600	Gurung	²ko-	²ko- = koqba	feed (solid food to child)	feed (solid food to child)		1.3.5.8	14	0	HIDE	DUPE IN SOURCE
174774	172	*TGTM	ᴮkaː	ᴮkaː,ᴮkʰwak,ᴮkʰwa,ᴮkwa,ᴮkwak	eat up, stuff self	feed (solid food to child)***		1.3.5.8	14	0		
174775	1456	Tamang (Risiangku)	¹kaŋ	¹kaŋ	foot / leg	foot /  leg		1.5.2	15	0		336
174776	1462	Tamang (Sahu)	¹kaŋ	¹kaŋ = ¹kaŋ	foot / leg	foot /  leg		1.5.2	15	0		336
174777	1467	Tamang (Taglung)	kaŋ	kaŋ	leg	leg		1.5.7	15	0		336
174778	172	*TGTM	ᴬkaŋ	ᴬkaŋ	leg	leg***		1.5.7	15	0		336
