rn	type	text
76103	T	"<par>Written Tibetan <latinform>ld-</latinform> is sometimes a reflex of <latinform>*ly-</latinform>, as in <xref ref=""629"">#629</xref> &gt; WT <latinform>ldag</latinform>.</par>"
76104	T	<par>According to Jäschke p. 384, this is a form secondary to WT <latinform>ldad-pa</latinform>.</par>
76117	I	<par>M1: ;BP pfx? or 229? 1390? or 66? (presume <latinform>(k)a</latinform> because of <latinform>ʔə</latinform>, etc.)</par>
76133	I	<par>The -y is a learned folk etymology; cf. Skt.</par>
76143	T	<par>This Lushai (Mizo) form was miscopied from STC #419 in Coblin 1986:48, where it is attributed to Written Burmese.</par>
76216	T	<par>WB preserves nasal-final allofam.</par>
76288	I	<par>correctly tagged?</par>
76388	I	<par>STC missed the WT cognates.</par>
76389	I	<par>STC missed the WT cognates.</par>
76390	I	<par>STC missed the WT cognates. Check da-drag in WSC</par>
76390	T	<par>This WT form with the archaic <latinform>-d</latinform> suffix (the so-called <emph>da-drag</emph>) is properly to be labelled &quot;Old Tibetan&quot;, as in Coblin p. 125.</par>
76414	T	<par>STC 197.</par>
76428	I	<par>earlier: 2106, s</par>
76581	I	<par>Check WSC.</par>
76583	I	<par>Check WSC.</par>
76602	T	<par>GSR (p. 316) gives no OC reconstruction, &quot;for lack of Shijing rhyme or Xie-sheng connections.&quot;</par>
76602	I	<par>GSR (give page ref.) gives no OC reconstruction, &quot;for lack of Shijing rhyme or Xie-sheng connections.&quot;</par>
76809	I	<par>Question mark in WSC indicates uncertainty over reconstructed form. See “dream” WSC p. 66.</par>
77010	I	<par>The reference, WSC-SH 330, is wrong.</par>
77033	I	<par>MIND not KIND?</par>
77034	I	<par>MIND not KIND?</par>
77035	I	<par>MIND not KIND</par>
77035	I	<par>Chinese character.</par>
77035	T	<par>Coblin (p.92) argues for the semantic connection between this Chinese etymon and the TB root by citing the English expression ‘have a heart.’ </par>
77173	I	<par>Check; note includes a Ch. note.</par>
77459	I	<par>Question mark in WSC indicates uncertainty over reconstructed form.</par>
77520	I	<par>2104?</par>
77587	I	<par>Check WSC</par>
77588	I	<par>Check WSC</par>
441373	T	<par>Chinese <hanform>僕</hanform>.</par>
