rn	type	text
15681	I	<par>&apos;left&apos; and &apos;right&apos; appear to be mixed up in this source.</par>
15682	I	<par>&apos;left&apos; and &apos;right&apos; appear to be mixed up in this source.</par>
15712	T	<par>See the similar Newar form <latinform>mi◦khā phu◦si</latinform>.</par>
15766	T	<par>Lolopho <latinform>kɯ³³ </latinform> &apos;cheekbone&apos;.</par>
15772	I	<par><emph>Cf. te/tet above? cf. AM tu-tu/tut-to</emph></par>
15778	I	<par>The second element <latinform>v̩⁵⁵ dɯ³³</latinform> means &apos;head&apos;.</par>
15807	I	<par>&apos;left&apos; and &apos;right&apos; appear to be mixed up in this source.</par>
15808	I	<par>&apos;left&apos; and &apos;right&apos; appear to be mixed up in this source.</par>
15840	I	<par>Same as FACE.</par>
15841	I	<par>See HEAD.</par>
15861	I	<par>1384? See below</par>
15863	I	<par>M1: or 1390? thÅ: as below Mpi 30673? or 2114? (b?)</par>
15864	I	<par>BP pfx? M2: <latinform>naŋ</latinform> (2118)?</par>
15865	I	<par>l∑: as earlier</par>
15869	I	<par>1319?</par>
15870	I	<par>M2=s or 1384:use 1384 (JAM)</par>
15871	I	<par>M1: 315 or 2102?</par>
15880	I	<par>The second element <latinform>v̩⁵⁵ dɯ³³</latinform> means &apos;head&apos;.</par>
15881	I	"<par>The second syllable means &apos;round object&apos; &lt; <xref ref=""1019"">#1019</xref>.</par>"
15883	I	<par>Literally &quot;penis-water&quot;.</par>
15889	I	<par>not clear which syll is reflex of #96.</par>
15899	T	<par>Lolopho <latinform>vi³³</latinform> &apos;water&apos;.</par>
