rn	type	text
72495	I	<par>Why is the form split between the &lt;k&gt; and the &lt;h&gt;? --mlj</par>
72822	I	<par>from 630 or 454?</par>
72890	I	<par>tïp: see p. 14</par>
73444	T	<par>Dumi <latinform>roː rɨ</latinform> looks exactly parallel to Tangut <latinform>rǐɑr rǐe</latinform>.</par>
73480	T	<par>The semantic extension to INTESTINES is due to the coiled appearance of those organs. Cf. WB <latinform>wak-ʔu</latinform> &apos;screw&apos;, lit. &quot;pig-intestine&quot;.</par>
73686	I	<par>Last syllable is “life force” .</par>
73687	I	<par>Last syllable is “life force” .</par>
73827	I	<par>1382? 1388?</par>
147851	T	<par>Cf. Idu a-lampaga &apos;rebirth.&apos;</par>
147852	T	<par>Cf. Idu <latinform>a-lampaga</latinform> &apos;rebirth.&apos;</par>
148120	I	<par>Last syllable is “life force” .</par>
