rn	type	text
80552	I	<par>&apos;dead oxen or horses.&apos; probably refers to all draft animals (e.g., water buffalo).</par>
80552	T	<par>Jianchuan <latinform>ɕi³³ ŋɯ̱̃²¹ ɕi³³ mæ³³</latinform> lit. &quot;dead ox, dead horse&quot;. Probably refers to all draft animals (e.g. water buffalo).</par>
80553	I	<par>&apos;dead tigers or panthers.&apos;probably refers to all wild animals.</par>
80553	T	<par>Jianchuan <latinform>ɕi³³ lo̱²¹ ɕi³³ pã̱⁴²</latinform> lit. &quot;dead tigers, dead panthers&quot;. Probably refers to all wild animals.</par>
80555	I	<par>&apos;dead dogs or cats.&apos; probably refers to all domestic animals (e.g. chickens).</par>
80555	T	<par>Jianchuan <latinform>ɕi³³ kʰuã³³ ɕi³³ ʔã⁵⁵ nĩ⁵⁵</latinform> lit. &quot;dead dogs, dead cats&quot;. Probably refers to all domestic animals (e.g. chickens).</par>
80558	I	<par>2d syll &lt; Chinese?</par>
80560	I	<par>from Chinese? cf. Mand <latinform>xǐng</latinform>.</par>
80573	I	<par>Why brackets on 2d syll.?</par>
80631	I	<par>(Check <latinform>kě</latinform> in index to GSR)</par>
80631	T	<par>Borrowing from Chinese <latinform>kě shǔi</latinform> “thirsty (for water)” .</par>
80632	I	<par>P2=? 1st two syll = STOMACH?</par>
80688	I	<par>The last syllable has been tagged 1276 by analogy with the Tujia forms for ‘chest’ <latinform>li⁵⁵ kʰo⁵⁵ tsʰũ⁵⁵</latinform> (43384,127201) and <latinform>li⁵⁵kho⁵⁵tshoŋ⁵⁵</latinform> (193110), since the second syllables of the Bai and Tujia forms seem to match up as well.</par>
80721	I	<par>cf. <emph>elsewhere--(where?)</emph></par>
80825	I	<par>Bai forms contain borrowings from Chn.</par>
80845	I	<par>See prev. p: morphem.fu;and above. Not b (<latinform>phok</latinform>)?</par>
80853	I	<par>1384? or 1106?</par>
80855	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
80856	I	<par>M2 = water (Ch.) (JAM) = 189?</par>
80856	I	<par>second syll &lt; Ch?</par>
80857	I	<par>M1: phá∞∞ :cf. pá∞∞ etc above (several pp.back) M2: 181?</par>
80858	I	<par>b = 2102</par>
80862	I	<par><emph>remove division </emph>(etc. as above)</par>
80863	I	<par><latinform>piw</latinform>: see above from Chin?M2-3:b from Ch. KIDNEY</par>
80864	I	<par>b: KIDNEY (Check this earlier for KIDNEY too: M2: 650 etc.)</par>
80866	I	<par>see <latinform>sɔ</latinform> below. Rel. to 574?</par>
80869	I	<par>M1: 1384?; M2: rel. to <latinform>tsõ</latinform> above?</par>
80878	T	<par>Bai <latinform>tɯ̱²¹ po̱²¹</latinform> &apos;head&apos;.</par>
80900	T	<par>Cf. Gazhuo <latinform>pao³³</latinform> &apos;placenta&apos;.</par>
