rn	type	text
130336	I	<par>last syll bound?</par>
130384	I	<par>Gloss could actually be ‘palate’ .</par>
130421	I	<par>2d syll &lt; *gam?</par>
130426	I	<par><latinform>te</latinform>: prefix? (as earlier)</par>
130432	I	<par><emph>kek</emph></par>
130445	T	<par>Colostrum is the thin secretion produced by the mother of a newborn for a few days before actual milk is produced.</par>
130464	I	<par>BP pfx?</par>
130533	I	<par>1226 is also a possibility for the second syll</par>
130559	I	<par>The final -m is unexplained.</par>
130574	I	<par>Or 293? (tsu); division? as above</par>
130581	I	<par>1388? M2: p? or 1013? M3: 1388? See above 10146 etc.</par>
130584	I	<par>?</par>
130585	I	<par>? no division of M3? (as above) <latinform>qo</latinform>: see earlier??</par>
130586	I	<par>as above (and <latinform>tə</latinform><latinform> </latinform>= pfx). Div?</par>
130590	I	<par><latinform>tə</latinform><latinform> </latinform>pfx? M2 NEST? M3: 1390?</par>
130591	I	<par>M1: Cf. earlier prefix; division?</par>
130602	I	<par>“testicle” (<latinform>təskʰərdok</latinform>) + ??</par>
