rn	type	text
39234	I	<par>Note the similarity between the Monpa forms for &apos;tail&apos; and the Mru forms <latinform>ʃr̀dblquote ɛmyi³</latinform> (163260) and <latinform>ʃr̀dblquote imi³</latinform> (163261); the &apos;p&apos; in the Monpa forms may be epenthetic.</par>
39235	I	<par>Cf. Thai <latinform>nǎŋ</latinform> SKIN, check Monpa forms for skin.</par>
39239	I	<par><latinform>kʰok</latinform>&lt;<latinform>kʰoŋ. </latinform>Loan &lt;Tb.?</par>
39295	I	<par><emph>khi</emph>: cf. Gallong <latinform>aki</latinform> XX above. M1 = m or 208?; 2103 (or 2111?); <latinform>laŋ</latinform></par>
39297	I	<par>572? 318? cf. above (<latinform>ria</latinform>)</par>
39299	I	<par>M1: would expect 1390: how? (and cf. <latinform>sa-sum</latinform> below) M2: what to do if remove Etym. <latinform>kum</latinform> (per JAM)?</par>
39301	I	<par>1390?? perh. 2122?? and sfx <latinform>-s</latinform>?</par>
39302	I	<par>note <latinform>raŋ</latinform><latinform> </latinform>often this group</par>
39327	I	<par>check cognacy</par>
39327	I	<par>check cognacy of Monpa Cangluo Muotuo and Monpa Tilang forms for dream (second syllables)</par>
39366	I	<par>2d morph also tagged as P26.</par>
39395	I	<par>check gloss.</par>
39396	I	<par>check gloss.</par>
39413	I	<par>Note the similarity between the Monpa forms for &apos;tail&apos; and the Mru forms <latinform>ʃr̀dblquote ɛmyi³</latinform> (163260) and <latinform>ʃr̀dblquote imi³</latinform> (163261); the &apos;p&apos; in the Monpa forms may be epenthetic.</par>
39429	I	<par>First two syll = MOUTH. Third syll ≠ *tsam HAIR (see HAIR OF HEAD).</par>
39441	I	<par>In this dialect of Monpa, the first two syllables mean &apos;belly&apos;. Note the similarity of the second two syllables to Darang tæ∑£¡ bo≥£∞ &apos;center&apos; (cf. also Bokar lo-po≥ &apos;center&apos;). The last syllable looks like #2111 &apos;belly; center&apos;.</par>
39450	I	<par>ibid. M2 division correct?</par>
39452	I	<par><latinform>ju</latinform> = 208? or m? M2: 1384 etc. or s?</par>
39454	I	<par>One or both from 1390?</par>
39456	I	<par>+ sfx <latinform>-s</latinform>? (perh. 572?)</par>
39473	I	<par>check cognacy.</par>
39506	I	<par>check gloss.</par>
296648	I	<par>la¹³ means &apos;mountain range, ridge&apos; in Tsangla (Motuo), so kʻai⁵⁵la¹³ could be a compound with &apos;mountain&apos; or it could be a reflex of #5560 *(k-)la.</par>
296981	I	<par>Loan from Tibetan.</par>
297681	I	<par>Loan from Tibetan.</par>
