rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
21742	1078	Miri, Hill	-ka	-ka	imperative suffix	imperative suffix		10.0		0		
21743	1078	Miri, Hill	ka-nam	ka-nam	see	see		1.2.6.10		0		6373,s
21744	1078	Miri, Hill	ka-kin-nam	ka-kin-nam	show	show		6.2.2.8		0		6373,m,s
21745	1078	Miri, Hill	ka-tom	ka-tom	indicate	indicate		8.2		0		
21746	1078	Miri, Hill	kai	kai	fat, big	fat, big		1.6.4		0		m
21747	1078	Miri, Hill	kai-de-bee mo-nam	kai-de-bee mo-nam	enlarge	enlarge		9.5		0		
21748	1078	Miri, Hill	kai-ne som	kai-ne som	broad	broad		7.1.5.1		0		
21749	1078	Miri, Hill	kai-ne shite	kai-ne shite	river	river		3.2.3		0		
21750	1078	Miri, Hill	kan	kan	right	right		1.5.3.2		0		
21751	1078	Miri, Hill	kano	kano	hungry	hungry		1.1.3		0		104
21752	1078	Miri, Hill	kap	kap	good	good		9.6.1.1		0		
21753	1078	Miri, Hill	kap-nam	kap-nam	cry	cry		1.8.8.2		0		1103,s
21754	1078	Miri, Hill	kam	kam	work	work		6.1.1		0	D1	5712
21755	1078	Miri, Hill	kam-ri-nam	kam-ri-nam	work	work		6.1.1		0		5712,m,s
21756	1078	Miri, Hill	kalo-minɟo	kalo-minɟo	ridging	ridging		3.2.5		0		
21757	1078	Miri, Hill	ke	ke	genitive suffix	genitive suffix		10.4.1.1		0		
21758	1078	Miri, Hill	-k'	-k'	genitive suffix	genitive suffix		10.4.1.1		0		
21759	1078	Miri, Hill	kek◦si-nam	kek◦si-nam	sneeze	sneeze		1.8.2.1		0		
21760	1078	Miri, Hill	ke◦cak	ke◦cak	sour	sour		7.1.4.4		0		6406,m
21761	1078	Miri, Hill	kenne	kenne	seven	seven		9.9		0		2505
21762	1078	Miri, Hill	keni	keni	seven	seven		9.9		0		2505
21763	1078	Miri, Hill	ken-lo	ken-lo	day after tomorrow	day after tomorrow		1.5.3.2		0		m,6432
21764	1078	Miri, Hill	moro-ken-lo	moro-ken-lo	day before yesterday	day before yesterday		1.5.3.2		0		m,m,6432
21765	1078	Miri, Hill	keja	keja	black	black		9.4		0		
21766	1078	Miri, Hill	kel◦lo	kel◦lo	backbone	backbone		1.4.8.2		0		202,238
21767	1078	Miri, Hill	kes	kes	hide	hide		1.6.5.1		0		
21768	1078	Miri, Hill	kes-koke	kes-koke	hiding place	hiding place		6.1.1		0		
21769	1078	Miri, Hill	ki-nam	ki-nam	pound with fist	pound with fist		6.8		0		
21770	1078	Miri, Hill	'ki-n'	'ki-n'	bitch	bitch		2.1.11		0		1764,1621
21771	1078	Miri, Hill	'ki-nɤ	'ki-nɤ	bitch	bitch		2.1.11		0		1764,1621
21772	1078	Miri, Hill	ki◦cik	ki◦cik	waist	waist		1.4.6		0		m,223
21773	1078	Miri, Hill	kipaici	kipaici	diarrhoea	diarrhoea		1.8.5		0		
21774	1078	Miri, Hill	kɯkte-nam	kɯkte-nam	ram	ram		2.1.8		0		
21775	1078	Miri, Hill	kɯ-lam	kɯ-lam	ordinal suffix	ordinal suffix		9.9		0		
21776	1078	Miri, Hill	ko-nam	ko-nam	wear	wear		6.2.2.1		0		
