rn	type	text
130713	I	<par>exemplary isolate. Also sim. Ergong (N) form. Is this form correct?</par>
130748	I	<par><latinform>te</latinform>: prefix? (as earlier) Div. of word 2? <latinform>snok</latinform>: rel. to 204 (s-nuk)?</par>
130751	T	<par>=lung+?</par>
130778	I	<par>The first constituent looks like a contraction of <latinform>tə◦wu</latinform> &apos;belly&apos;. See previous record <latinform>tə◦wu tɕʰak</latinform> &apos;umbilical cord&apos;.</par>
130783	I	<par><latinform>te</latinform>: prefix? (as earlier) etc. as above</par>
130883	I	<par>syll endings like Northern Qiang.</par>
130898	I	<par>Or 293? (tsu); division? as above</par>
130905	I	<par>1388? M2: p? or 1013? M3: 1388? See above 10146 etc.</par>
130906	I	<par><latinform>tə</latinform> = pfx? M2: or 2122?</par>
130907	I	<par>?</par>
130908	I	<par>? M3 = NEST (JAM)<emph>(+ see p. 14)</emph></par>
130908	I	<par>second syll = NEST.</par>
130909	I	<par><emph>lo:</emph> 1381?</par>
130913	I	<par><latinform>t</latinform><latinform>ə:</latinform><latinform> </latinform> cf. <latinform>ti</latinform> etc. above and earlier. M3: division?</par>
130915	I	<par><latinform>tə</latinform><latinform> </latinform>pfx? M2: kto? M3: 1390?</par>
130916	I	<par>M1: Cf. earlier prefix; division?</par>
130919	I	<par>Div? nak: 2118?</par>
130930	T	<par>Literally &quot;testicle&quot; + &quot;house&quot;.</par>
130972	I	<par>Division?</par>
130973	I	<par>Division?</par>
