rn	type	text
16681	T	<par>Phunoi denasalizes, as in <latinform>bɑ³³</latinform>.</par>
16687	I	<par>M1: division? (e.g. 1381, 1384/s). M2: or 1019? *</par>
16690	I	<par>The cognacy of these two Phunoi forms is uncertain, but <latinform>ce¹¹ ⪤ ca³³</latinform> perhaps reflects <reconstruction>*-iŋ ⪤ *-aŋ</reconstruction>.</par>
16710	T	<par>Phunoi prefix <latinform>bə̆-</latinform> &lt; <latinform>*m-</latinform>.</par>
16710	T	<par>Phunoi regularly denasalizes.</par>
16715	I	<par>2d syll is characteristic of Bisoid. Cf. Bisu</par>
16718	I	<par>M2: 227 or 229?</par>
16721	I	<par>should this be tagged #27?</par>
16734	I	<par>BP pfx? or 229? M2: 315 or 2102?</par>
16748	I	<par>b or kho/©o, etc. 2102? 1019? or 1390?</par>
16768	I	<par>second syll may be 60 <latinform>saːw</latinform>.</par>
16783	I	<par>check source</par>
16783	T	<par>Borrowing from Tai <latinform>kə̀ət</latinform>.</par>
16795	I	<par>BP pfx?</par>
16813	T	<par>The cognacy of these two Phunoi forms is uncertain, but <latinform>ce¹¹ ⪤ ca³³</latinform> perhaps reflects <reconstruction>*-iŋ ⪤ *-aŋ</reconstruction>.</par>
