rn	type	text
40946	T	<par>These disyllabic Jinuo forms are perhaps dimidiations (Boodberg&apos;s coinage) of the original sesquisyllable <reconstruction>*k-liŋ</reconstruction>.</par>
40955	I	<par>BP pfx? 315 or 2102?</par>
40958	I	<par>from Chin.</par>
40990	I	<par>M2: 779? M3: 191?</par>
41035	I	<par>Perhaps 2d syll &gt;4.</par>
41038	I	<par>M2: 1384? or sfx?</par>
41039	I	<par>BP pfx? M2 and M3: both prev. seen?</par>
41042	I	<par>1019? 66? (1019: <latinform>sey</latinform>)</par>
41043	I	<par>p or 229? or 66? a = BP pfx?</par>
300882	I	"<par>Borrowing from Chinese, cf. Chinese 洋芋	yángyù &apos;potato&apos;.</par>"
300898	I	<par>Loan from Chinese, cf. Chinese báicài 白菜  &apos;Chinese cabbage, bok choy&apos;.</par>
300955	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
301115	I	"<par>Loan from Chinese, cf. Chinese yǐzi 椅子	&apos;chair&apos;.</par>"
301144	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
301149	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
301150	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
301168	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
301803	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
