rn	type	text
13930	T	"<par>Apparently all that is left of <xref ref=""2012"">#2012</xref> in this form is the rhotic prefix!</par>"
13967	I	<par>Error in gloss?</par>
14090	I	<par>rGy. 368’ s could be 363 + assim.</par>
14111	T	<par>This form has perhaps been mis-glossed, in view of the fact that this morpheme means &apos;joint&apos; in the other rGyalrong forms. </par>
14113	I	<par>third syll = ROAD.</par>
14120	I	<par>Or 293? (tsu); division? or not? Any relsp. 293/458? Cf. p. 43 etc.; for <latinform>r</latinform> cf. p. 23.</par>
14124	I	<par><latinform>tə</latinform> = pfx?</par>
14126	I	<par>M2: See above 10146 etc.</par>
14127	I	<par><latinform>tə </latinform>= pfx (cf. earlier?) Division as r-nok?</par>
14128	I	<par>M1: 215? or NEST?? cf. #14132 (p. 36 mid)</par>
14132	I	<par>M1 NEST?? or cf. <latinform>dʑey</latinform> above. M2 = 227 cf. #14128 p. 31 end.</par>
14133	I	<par>M1: Cf. earlier prefix</par>
14138	I	<par>Form is same as for “vagina” .</par>
