rn	type	text
514927	I	<par>Error in HPTB index: This is supposed to be a PKaren root (HPTB:260).</par>
515079	I	<par>(See HPTB p.26, fn. 25).</par>
515340	I	<par>HPTB &quot;Index of Proto-Forms&quot; (p.599) has <latinform>*s-lay ⪤ *s-ləy</latinform>, which is an error (should be <latinform>*s-lay ⪤ *s-ley</latinform>).</par>
515466	T	<par>Although STC sets up this root with <latinform>*-r-</latinform>, the evidence favors the reconstruction of <latinform>*-y-</latinform>. The only evidence for <latinform>*-r-</latinform> offered in STC is Bahing <latinform>moro</latinform> and the Intha dialect of Burmese (<latinform>mrok ~ mlok</latinform>) (see also Sunwar and Jirel <latinform>moro</latinform>). These Himalayish forms bear some resemblance to Nepali <latinform>mākul</latinform>, though they show no trace of a velar.</par>
515497	T	<par>This allofam, poorly attested, was reconstructed in HPTB:39 on the basis of Bisu <latinform>mjò</latinform>, since plain nasals generally developed into Bisu stops.</par>
515509	T	<par>Although Written Burmese does not differentiate between <latinform>nak</latinform> BLACK and DEEP, Lahu has a clear distinction: <latinform>nâʔ</latinform> &apos;black&apos; &lt; <latinform>*s-nakᴴ</latinform> vs. <latinform>ná</latinform> &lt; <latinform>*ʔ-nakᴸ</latinform> &apos;deep&apos;. This latter Lahu word has the high rising tone which developed by &quot;glottal dissimilation&quot; in syllables containing both a glottal onset and a stopped final (see Matisoff: 1970 passim and 1972, section 2.3).</par>
515657	I	<par>The HPTB index erroneously classifies this form as PTB instead of *Burmish (see HPTB:26).</par>
515797	T	<par>This is a root where some of the reflexes point to a unitary cluster of <latinform>*m + y</latinform>, while others have evidently treated the <latinform>*m-</latinform> as a prefix, yielding forms with initial <latinform>y-</latinform>.</par>
515864	T	<par><plainlatinform>HPTB p. 31</plainlatinform> erroneously gives 1 as the PLB tone for this form.</par>
516062	I	<par>Error in HPTB index: This is supposed to be a PKaren root (HPTB:305).</par>
516108	T	<par>The <latinform>*d-</latinform> prefix was set up for PTB in HPTB on the basis of forms like Angami <latinform>te◦kwi</latinform>, but this is undoubtedly of more recent origin.</par>
536392	I	<par>Recommend locating original source. <latinform>id</latinform> is suspicious, esp. given that gloss of previous form is &apos;id.&apos;</par>
537225	O	<par>AD #865 reconstructs MC <latinform>dźʼi̯a</latinform>. This OC reconstruction is a guess based upon the other characters in GSR #807.</par>
537226	O	<par><hanform>籃</hanform> Not in GSR #609.</par>
621345	O	<par>(Not in GSR #730)</par>
621405	I	<par>Accidental duplicate.</par>
