rn	type	text
17145	I	<par>Are these alternative glosses? Does source treat as same morpheme or as homophones?</par>
17145	I	<par>cf. WB <latinform>khôŋ-tûm</latinform> (head + blunt) ‘bald’ ; <latinform>tûm</latinform> ‘blunt, dull’ ; PLB<reconstruction>*dum²</reconstruction>.</par>
17207	I	<par>Or 1384?</par>
17228	I	<par>M3: FIND EARLIER. M4: 1381?? 191??</par>
17236	I	<par>M1: 649 or 650, or 653?? M2: 779? M3: <latinform>du</latinform> cf. <latinform>dui</latinform> below: 1243?</par>
17267	I	<par>was tagged I.</par>
17278	I	<par>2d syl. cf. CORPSE, BODY FILTH.</par>
17299	T	<par>Lh. <latinform>nɔ̀ʔ</latinform> ‘grow as a charateristic appurtenance’ .</par>
17317	I	<par>This gamma syllable could reflect another etymon.</par>
17332	I	<par>M2: 2104?</par>
17345	I	<par>BLUNT/THICK - PTB *tow [STC#319]; Lh. thu 1.thick, 2. blunt; but this has PLB *t-.</par>
