rn	type	text
41797	I	<par>Are all of these Lisu forms really reflexes of 385 d-bu?</par>
41797	T	<par>Ls. <latinform>tsʰe⁴⁴</latinform> cannot be from <reconstruction>*tsam</reconstruction>, since <reconstruction>*-am</reconstruction>&gt;Ls. <latinform>-o</latinform>.</par>
41838	I	<par>M2=s or 1384:use 1384 (JAM)</par>
41840	I	<par>315 or 2102?</par>
41842	I	<par>1384? See below</par>
41845	I	<par>JAM: 227--I&apos;ve been calling many of these 1390: <emph>see COMPARison sheet!!</emph></par>
41846	I	<par>M1: 649 or 650, or 653??? M2: 779 or other?</par>
41856	I	<par>2nd morpheme= ‘water’ </par>
41865	I	<par>MEAT/FLESH/ANIMAL</par>
41871	I	<par>1st syllable means “person”  (cf. Lolopho, Nesu, Yi Xide) &lt; PLB *<latinform>tsaŋ¹</latinform>.</par>
41878	I	<par>Decide whether goes with <reconstruction>*tsiŋ</reconstruction> or <reconstruction>*ts(y)ow</reconstruction>.</par>
41909	I	<par>Is second syllable <latinform>ta</latinform> a perfective Pv?</par>
41912	I	<par>Second syllable could be “SOFT” &lt; PTB *<latinform>now</latinform>. But ZMYYC lists Lisu soft as <latinform>nu³¹</latinform>, not <latinform>nu³³</latinform>.</par>
41926	I	<par>Make sure gloss reads “live.” </par>
