rn	type	text
38400	T	<par>The medial -<latinform>ʐ</latinform>- (usually &lt; <reconstruction>*-r-</reconstruction>) is unexplained.</par>
38443	I	<par>1381?</par>
38445	I	<par>M2: 209?</par>
38446	I	<par>BP pfx? M2 = 315 or 2103?</par>
38449	I	<par>M1: BP p or 229?? M2: or 1390? (presume not because <latinform>khau</latinform>, <latinform>ʔə</latinform>, etc.)</par>
38451	I	<par>M1:1390? (cf. below e.g. 44078,14257,etc)</par>
38452	I	<par>779? or 164?</par>
38490	T	<par>note -p</par>
38548	I	<par>second syll properly tagged?</par>
38550	I	<par><latinform>b</latinform> &lt; Ch?</par>
38583	I	<par>Note <latinform>pu</latinform> this group as above</par>
38584	I	<par>from Chin.</par>
38585	I	<par>BP pfx? M2 = 315 or 2103?</par>
38587	I	<par>M2: or 1390? 66?</par>
38588	I	<par>M2 = 191?</par>
38589	I	<par>M2 from Chinese <latinform>dǎn</latinform> &quot;gallbladder&quot;? (JAM)</par>
38590	I	<par>M1: 648-655 . . .? M2: 779? or 164?</par>
38698	I	<par>Cf. WB hnut &apos;mouth&apos;, <latinform>mut-nâ</latinform> BEARD.</par>
38721	I	<par>from Chin.</par>
38722	I	<par>BP pfx? M2 = 315 or 2103?</par>
38724	I	<par>Loan from Chinese, cf. Chinese gān 肝 &apos;liver&apos;.</par>
38725	I	<par>M2 = 191?</par>
38726	I	<par>from Chinese <latinform>dǎn</latinform> &quot;gallbladder&quot;? (JAM)</par>
38727	I	<par>M1: 2118?</par>
286970	I	<par>Loan from Thai.</par>
287186	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
287192	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
287193	I	<par>Loan from Chinese, cf. Chinese mòshuǐ 墨水 ‘ink’.</par>
287208	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
287447	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
287777	I	<par>Loan from Chinese, cf. Chinese shānyù 山芋 &apos;sweet potato&apos;.</par>
287828	I	<par>Loan from Chinese, cf. Chinese mùjiàng 木匠 ‘carpenter’.</par>
287842	I	<par>Loan from Chinese, cf. Chinese 工人 gōngrén &apos;worker&apos;.</par>
288010	I	<par>Loan from Chinese, cf. Chinese yínháng 銀行 &apos;bank (for depositing money)&apos;.</par>
288016	I	<par>Loan from Chinese, cf. Chinese mò 墨 &apos;ink stick, ink&apos;.</par>
288017	I	<par>Loan from Chinese, cf. Chinese mòshuǐ 墨水 ‘ink’.</par>
288032	I	<par>Loan from Chinese, cf. guójiā 國家 ‘nation’.</par>
288271	I	<par>Loan from Chinese, cf. Chinese gǎibiàn 改變 ‘change’.</par>
288326	I	<par>Loan from Chinese, cf. Chinese 乾淨 gānjìng &apos;clean&apos;.</par>
