rn	type	text
175055	T	<par>Only Tukche under tone *B</par>
175057	T	<par>Tukche alone reflects TGTM proto-tone B</par>
175120	T	<par>Tukche tone is alone from *B</par>
175405	T	<par>cf. <hanform>涫</hanform></par>
175665	T	<par>this doublet is a loan from Tukche</par>
175699	T	<par>The final <latinform>-p</latinform> in these Tamangic forms in unexplained.</par>
176849	T	<par>only used in &apos;year of the horse&apos;, otherwise Nepali loan used. irregular tone because it is probably a Tibetan loan.</par>
177375	T	<par>the Gurung form implies a short vowel, contra the Tamang forms</par>
178994	I	<par>Note that the initial looks like an affricate in this reconstructed form, which would then go with etymon 704 <reconstruction>*zak ⪤ *džak</reconstruction> ARM/HAND. But all the daughter dialects have an initial j=/y/, which suggests etymon 696 *yak ARM/HAND. This needs to be rectified.</par>
179500	T	<par>loan from the Marpha form</par>
179606	T	<par>Tukche tone is irregular</par>
