rn	type	text
121776	T	<par>Bahing <latinform>-k</latinform> is unexplained.</par>
121833	I	<par>Div.; 2123?</par>
121893	I	<par>s or 1325?</par>
122035	I	<par>first syll also given as e130.</par>
122047	I	<par>ALL <emph>THESE NEED DIVISIONS...</emph> tsik = cik above</par>
122214	I	<par>Isolate? Also = &quot;DRINK&quot;</par>
122250	I	<par>1382? (earlier tagger:1381); <latinform>si</latinform> = 1390? (see below p. 5)</par>
122251	I	<par>1382? (earlier tagger:1381) (earlier tagger put in division: but in light of e.g. 59815 above: not suggx+Etym.(thyr + mi) but perhaps part of ?</par>
122256	I	<par>divide <latinform>diby</latinform>? (<latinform>diŋ</latinform> 1387 + <latinform>bi</latinform> 1321?). <latinform>la</latinform> = x786?</par>
122462	T	<par>Maybe should be <latinform>phre-tsi</latinform>.</par>
122468	T	<par>Note assimilation of medial consonants in Bahing <latinform>biŋ khu</latinform>.</par>
122500	I	<par>Loan from Indic, cf. Nepali bandar.</par>
122550	I	<par>cf. SCRATCH.</par>
122551	I	<par>same as SKIN RASH.</par>
122552	I	<par>see SKIN RASH.</par>
122570	I	<par>Check gloss--n. or v.?</par>
122769	I	<par>I am interpreting the syllable <latinform>se-</latinform> as deriving from prefixal <reconstruction>*s-</reconstruction>, and <latinform>-li</latinform> as coming from the major syllable <reconstruction>*-riŋ</reconstruction>. For the same last element see the Thakali (Tukche) form <latinform>mih-li</latinform> &apos;life&apos; (<latinform>mih</latinform> &apos;person&apos;).</par>
122769	T	<par>Bahing <latinform>se-</latinform> perhaps from prefixal <latinform>*s-</latinform>.</par>
122825	I	<par>or 66?</par>
