rn	type	text
355	I	<par>strange gloss; form same as &apos;skin&apos;</par>
372	I	<par>Check gloss--’ cock’ s comb’ ?</par>
382	I	<par><latinform>kob-gi</latinform> and <latinform>la-do</latinform> were originally split into two different records. The correct form is <latinform>kob-gi la-do</latinform> &apos;ornament on arm (female)&apos;. Note that &apos;ornament on arm (male)&apos; is just <latinform>kob-gi</latinform>, so <latinform>la</latinform> may not mean &apos;arm&apos;.</par>
419	T	<par>May be rhinoglottophiliac.</par>
474	I	<par>Loan from Indo-Aryan.</par>
530	I	<par><latinform>&lt;*d-lay</latinform> or <latinform>&lt;*s-l(y)a</latinform>? or is this from Hindi?</par>
539	T	"<par>Despite the final dental nasal in Milang <latinform>ɲun-</latinform>, it is assigned to <xref ref=""259"">#259</xref> because of the doublet with <latinform>ɲuŋ</latinform>.</par>"
551	T	<par>Milang <latinform>-k</latinform> possibly due to assimilation to following consonant.</par>
553	I	<par>BP pfx?</par>
566	I	<par>May be rhinoglottophiliac.</par>
578	I	<par>Cf. Idu, Galo, Tagin.</par>
587	T	<par>Note assimilation of the medial consonants.</par>
592	I	"<par>The last syll looks like it could be a reflex of 711 *<latinform>t(a/o)ŋ</latinform> WING, or 371 <reconstruction>*g-daŋ</reconstruction> HAIR OF HEAD, or <xref ref=""370"">#370</xref>.</par>"
618	I	<par>check gloss with Jackson.</par>
625	I	<par>But compare to Milang term for “male” . The first syllable may be generic, that is, not gender-specific.</par>
716	I	<par>What does the (L) represent?</par>
894	T	<par>Cf. Mirish <latinform>dum-po</latinform> HEAD.</par>
1270	I	<par>check gloss with Jackson.</par>
1280	T	<par>Milang <latinform>ɲ-</latinform> looks like a fusion of the nasal prefix plus the root-initial <latinform>y-</latinform>.</par>
1525	I	<par>Check gloss--’ cock’ s comb’ ?</par>
1617	I	<par>Check last syllable.</par>
1742	T	<par>a-sar = ‘wind, air’ .</par>
1830	I	<par>PLB or just PL? Given in blue notebook as <latinform>ʔdatᴴ</latinform>, PL.</par>
1830	T	<par>contrast with <latinform>ʔdatᴸ </latinform>‘alive’ .</par>
2010	T	<par>Note assimilation of the medial consonants.</par>
