rn	type	text
451524	T	<par>This is a borrowing from Marma (Arakanese) <latinform>nəphúja</latinform>.</par>
451551	I	<par>The original /haiʔkhyúŋ/ is corrected.</par>
451565	I	<par>The original /təhúcháʔ/ is corrected and the STEDT&apos;s analysis is deleted.</par>
451568	I	<par>The original /təhúhɨŋ/ is wrong. The English gloss `fingernail&apos; is not appropriate.</par>
451569	T	"<par>The final glottal stop in Sak <latinform>ʃiʔ</latinform> has led Huziwara to speculate that the Proto-Asakian etymon had a final consonant, perhaps <latinform>*-r</latinform> (cf. <latinform>sor</latinform> &lt; <xref ref=""324"">#324</xref>).</par>"
451576	I	<par>The original /asésúʔ/ is wrong.</par>
451577	I	<par>The original /asésúʔ/ is wrong.</par>
451674	I	<par>This word is a borrowing from Bengali.</par>
451714	I	<par>Loan from Indo-Aryan.</par>
451714	I	<par>This word is not Indo-Aryan origin. See the note above.</par>
451715	I	<par>Loan from Indo-Aryan.</par>
451715	I	<par>This word looks like a borrowing from Bengali <strong>moric</strong> `pepper&apos; at first glance, however, it shares the same etymon with other Luish/Asakian languages. Proto-Luish <strong>*m-ruk</strong> (?) is proposed in Huziwara (2012) and is also listed in Matisoff (2013).  </par>
451738	I	<par>The original /təvaiŋ/ is wrong.</par>
451759	I	<par>Sak initial <latinform>ky-</latinform> often corresponds to Kadu <latinform>ty-</latinform> or <latinform>ti-</latinform>, cf. Sak <latinform>a kyí</latinform>, Sak (Bawtala) <latinform>ă tji²</latinform>, Sak (Dodem) <latinform>ă tji⁴</latinform>, and Kadu <latinform>ti¹</latinform> &apos;penis&apos;.</par>
451876	I	<par>The original /háʔpaiŋ/ is wrong.</par>
451907	I	<par>The original /apá/ is `elder brother&apos;. `brothers&apos; is added to the gloss.</par>
451914	I	<par>The original /acáiŋ/ is `elder sister&apos;.</par>
451964	I	<par>The original /kɨŋɗɯʔ/ is `crooked&apos;.</par>
451981	I	<par>The original /taʔpaiʔ/ is wrong.</par>
451991	I	<par>Original record is<br />gloss: <hanform>嘘</hanform> (Japanese)<br />form: <latinform>waiʔ (v)</latinform></par>
452045	I	<par>The first gloss `unfold / spread&apos; is corrected.</par>
452051	I	<par>The original /áthuʔ/ is `cut&apos;.</par>
452113	T	"<par>The unstressed first syllable of this form might be a reduction of <xref ref=""2753"">#2753</xref>.</par>"
452141	I	<par>The original /táiŋraŋ/ is `cliff&apos;.</par>
452146	I	<par>The original /tuŋbúʔ/ is `a small hill&apos;</par>
452165	I	<par>The original /púŋláʔ/ is wrong.</par>
452230	T	<par>The original /hraʔ/ is corrected.</par>
452238	I	<par>The original /raŋbvu/ is `bedbug&apos;.</par>
452248	T	<par>&lt; Indic nāga-?</par>
452252	T	<par>This form is probably a borrowing from Burmese.</par>
452265	I	<par>The original /aŕɨʔ/ is a typo.</par>
452269	I	<par>The original /kywá/ is `smooth&apos;.</par>
452310	I	<par>The original /ʃooʔʃóʔsa/ is a typo.</par>
452355	I	<par>The original /mwáiŋ/ is a borrowing from Marma and rarely used.</par>
452471	I	<par>The original /ŋíŋ/ is modified.</par>
452477	I	<par>The original /khəkhyaʔ/ is wrong.</par>
452523	I	<par>The original /laʔchɔiʔ/ is wrong.</par>
452526	I	<par>The first English gloss `fingernail&apos; is corrected.</par>
452549	I	<par>The original /khí/ is modified.</par>
452550	I	<par>The original /khí=cɔiʔ/ is modified.</par>
452554	I	<par>The original /khí=pɔʔ/ is modified.</par>
452557	I	<par>The original /ləǔ/ is `scrotum&apos; and deleted.</par>
452562	I	<par>The original /dúchɔiʔ/ is `knee joint&apos;.</par>
452579	I	<par>The original /əhŋǐŋ/ is wrong.</par>
452590	I	<par>The original /náthɔŋ/ is modified.</par>
452665	I	<par>The original /hmáŋŋyɔiŋθí/ is wrong.</par>
452678	I	<par>Possible loan from Indo-Aryan; cf. forms like Hindi mirich.</par>
452678	I	<par>This word is not Indo-Aryan. See my note above.</par>
452678	I	<par>The original /ŋərouʔmǔ/ should be /ŋərouʔmǔŋ/ and it means `black-pepper powder&apos;.</par>
452679	I	<par>Possible loan from Indo-Aryan; cf. forms like Hindi mirich.</par>
452679	I	<par>This word is a Marma form for WrB <strong>nga-rut</strong> `pepper / capsicum&apos; and probably not Indo-Aryan.</par>
452766	I	<par>The original /thəraiŋ/ is `wall&apos; and deleted.</par>
452786	I	<par>The original /əcɔ́ŋ/ is `edge&apos;.</par>
452802	I	<par>The original /phrɔʔ/ is `scratch&apos;.</par>
452845	I	<par>The original /cɔiʔ thú dá/ is wrong.</par>
452877	I	<par>The original /ŋiŋko/ is modified.</par>
452882	I	<par>The original /ŋiŋʃe/ is modified.</par>
452972	I	<par>The original /kəjá/ is `play (v)&apos;.</par>
452989	I	<par>The original /aphɔ=khi/ is modified.</par>
453018	I	<par>The first gloss `unfold / spread&apos; is corrected.</par>
453018	I	<par>The original /kháŋ/ is `spread&apos;.</par>
453114	I	<par>The original /kədɔ̌/ is `swirl (in general)&apos;.</par>
453181	I	<par>The original /khi/ is modified.</par>
453205	I	<par>The original /cagɔ́ŋphru/ is `weaver-bird&apos;, or perhaps, `swallow&apos;.</par>
453217	T	<par>The original /kráiŋbú/ is `bedbug&apos;.</par>
453248	I	<par>The original /əŋiŋ/ is modified.</par>
453322	I	<par>The original /əphrǎiŋ/ is corrected.</par>
453323	I	<par>The original /hrǔŋ/ is a transitive form.</par>
453335	I	<par>The original /mɔ́iŋ/ is `noon&apos;.</par>
453354	I	<par>The original /əkhiŋ/ is modified.</par>
453391	I	<par>The original /khíŋ/ is modified.</par>
