rn	type	text
16826	I	<par>bi = pi</par>
16843	I	<par>M1: 779? M2: 649 or 650, or 653??</par>
16925	I	<par>original gloss: koupi</par>
16931	I	<par>1384? See below</par>
16935	T	<par>Sani <latinform>ɪ¹¹ pɪ⁴⁴</latinform> &apos;stomach&apos;.</par>
16997	I	<par>first syll &lt; <reconstruction>*gam</reconstruction> 630?</par>
17044	I	<par>M1: 649 or 650, or 653??; M2: 779? M3: s or <latinform>mak</latinform></par>
17080	I	<par>M2=s or 1384:use 1384 (JAM)</par>
17089	T	<par>Literally &quot;breast-head&quot;.</par>
17094	T	<par>Cf. Bai <latinform>tɯ²¹ mɑ³⁵ pi³⁵</latinform>.</par>
