rn	type	text
79402	I	<par>earlier tagged 1382</par>
79404	I	<par>M1: 1326?? M2: 189? (or 16?) (or 1019 <latinform>sey</latinform> ROUND OBJECT) <emph>WAIST</emph>?</par>
79451	I	<par>cf. Yakha “swollen spleen.” </par>
79498	T	<par>Literally &quot;penis + bird + egg&quot; (cf. Athpare <latinform>le wa ɖin</latinform> &apos;testicle&apos;).</par>
79551	I	<par>As above.</par>
79559	I	<par><latinform>sa</latinform> means &apos;animal&apos;.</par>
79564	I	<par>note similarity to HUNGRY in Bantawa.</par>
79565	I	<par>M1 = HUNGRY? What is P6?</par>
79573	I	<par>cf. final retroflex <latinform>t</latinform> in Rai dial.</par>
79575	I	<par>Cf. <latinform>phokso</latinform></par>
79581	I	<par>M1 = HUNGRY? What is P6?</par>
