rn	type	text
529278	O	<par>The PK protoform cannot be reconstructed since PNK, PCK and PSK have different onset and tones.</par>
529279	O	<par>The PK protoform cannot be reconstructed since PNK, PCK and PSK have different onset and tones.</par>
529280	O	<par>The PK protoform cannot be reconstructed since PNK, PCK and PSK have different onset and tones.</par>
529283	O	<par>N.Sgaw and S.Pwo have tone A instead of tone B. The two varieties of Pwo have irregular vowels.</par>
529284	O	<par>Irregular vowels in Kayah (KH) and Kayaw (KW), i.e. they should be e and a in KH and KW, respectively. S.Karen (SK) tones suggest *bl-, while those in N.Karen (NK) indicate *pl-.</par>
529286	O	<par>In some N.Sgaw varieties phla¹¹¨~pha¹¹¨ means ‘fireplace’.</par>
529293	O	<par>Pa-O and Sgaw have tone A while C.Karen (CK) languages and Pwo have tone B. *pl- has become bl- in Sgaw.</par>
529294	O	<par>N.Sgaw has the B3 tone while S. Sgaw has the B1 tone as in Pwo and Pa-O.</par>
529297	O	<par>This etymon has irregular tone change, i.e. *D has become tone A in S.Sgaw and Pwo. Perhaps, the final *-t had been dropped much earlier, then the *D tone became the *A tone.</par>
529302	O	<par>The words meaning ‘bird’ in N.PO and S.PO are wa⁵³(B3) and wa⁵⁵(B3) respectively.</par>
529308	O	<par>*kl- has become phr- and pl- in N.Pa-O and S.Pa-O. respectively.</par>
529311	O	<par>This etymon has irregular tone changes in SK, i.e. tone A in Sgaw and tone B in Pwo, while it is still tone D in NK and CK. The final *-t might have been dropped very early; consequently, the tones in Sgaw and Pwo have differently developed.</par>
529319	O	<par>It is noticeable that NK has tone B while CK and SK have tone A.</par>
529321	O	<par>N.Pwo has tone A which is irregular.</par>
529322	O	<par>NK and Kayan (CK) have tone A while the rest has tone B.</par>
529323	O	<par>Kayan has irregular vowel, i.e. o, instead of ɨ. N.Sgaw also has irregular tone, i.e. tone D.</par>
529327	O	<par>Proto-Monic: *tyaaŋ, Proto-Mon: *caiɲ (Diffloth, 1984)</par>
529328	O	<par>NK and CK have tone D while SK languages have irregular tone changes, i.e. *D&gt;A in Sgaw but &gt;B in Pwo.</par>
529329	O	<par>Thai: khaaŋ33.</par>
529333	O	<par>The correspondence pattern of rhymes in SK suggests *Ɂbajᴮ [Thai: baj33]</par>
529341	O	<par>The SK tones suggest tone *A in PK.</par>
529345	O	<par>ki⁵³ in Kayan is a kind of grub.</par>
529350	O	<par>Sgaw has tone A while Pwo, NK and CK have tone B.</par>
529352	O	<par>Pwo has an irregular initial, i.e. it should be d- instead of th-.</par>
529360	O	<par>In SK, the rhyme *-oɁᴰ has become -ɔᴬ (SG, N.PW) and -oᴬ (S.PW).</par>
529365	O	<par>In N.Pwo, it is an irregular tone change, i.e. tone 55 (A23) instead of tone 35 (A1) like in Sgaw, NK and CK.</par>
529379	O	<par>Kayan has an irregular onset, i.e. t- instead of d-.</par>
529381	O	<par>The D3 tone in NK and Pwo suggests *gr- while the D12 tone in Kayan and Sgaw indicates *khr-.</par>
529386	O	<par>Pa-O and N.Sgaw have tone D12 which suggests *p- in PK.</par>
529396	O	<par>It is noticable that Sgaw and Pwo (SK) have tone B3.</par>
529399	O	<par>S.Pa-O, Pwo and some varieties of Sgaw have tone A, while CK has tone D.</par>
529404	O	<par>The PK protoform cannot be reconstructed since PNK, PCK and PSK have different onset and tones.</par>
529412	O	<par>The initial th- and tone B3 in Pwo suggest a plain voiced *d- in PK. Probably, *ɗ- in PK had become *d- in Pwo and then *d- became th-.</par>
529413	O	<par>There is an irregular tone change in Bwe. The A3 tone in Bwe should be 33, not 11.</par>
529426	O	<par>NK has the A tone instead of the B tone as in CK and SK.</par>
529427	O	<par>Bwe has an rregular [sic] tone. Modern Bwe should have tone 33(A3) instead of Tone 11 (D3).</par>
529428	O	<par>In SK *phr- has become phl-.</par>
529429	O	<par>The PK tone cannot be reconstructed due to the fact that NK, CK and SK have tones A, D and B, respectively. This etymon is an Austroasiatic loanword. The reconstructed form for ‘horse’ in Proto-Monic is *ksɛh (Diffloth, 1984).</par>
529434	O	<par>Pwo has an unusal onset, xw-.</par>
529439	O	<par>NK, CK and Sgaw (SK) have tone D12; however, it is D3 in both N.Pwo and S.Pwo.</par>
529443	O	<par>Some Karenic languages have tone D12 which suggests *pl-, e.g. N.Pa-O, Bwe and some varieties of Sgaw. However, both N.Pwo and S.Pwo have the D3 tone which indicates a plain voiced *bl-.</par>
529445	O	<par>Kayan has an irregular vowel, ai; the regular one should be ɨ.</par>
529446	O	<par>The initial khw- in Pwo is irregular.</par>
529460	O	<par>Pwo has tone D while CK and Sgaw have tone B.</par>
529465	O	<par>Kayah has an irregular vowel, a instead of e. Bwe and Pwo have tone B while the rest has tone A.</par>
529467	O	<par>NK, CK and S.Pwo have tone A while Sgaw and N.PWO have tone B.</par>
529471	O	<par>Only N.Sgaw has tone D instead of A.</par>
529476	O	<par>Irregular vowels in CK, i.e. the vowel changes behave like the *-a rhyme pattern, not the *-aŋ one.</par>
529487	O	<par>The tone of this etymon cannot be reconstructed due to its regularity. Very often, the word ‘one’ is unstressed, so its vowel has been reduced. Moreover, in some CK languages there is also the harmony of vowels in sesquisyllabic words, t?&apos;C?.</par>
529490	O	<par>NK and CK have tone A3 which indicates a voice onset *ɲ- but the tone A12 in SK suggests a voiceless onset *hɲ-.</par>
529491	O	<par>S.Pwo has an irregular vowel, i.e. it should be u not ɨ.</par>
529499	O	<par>Kayah and Sgaw have irregular vowels, i.e. u instead of ɔ (Kayah) and u instead of ə (Sgaw).</par>
529500	O	<par>N.Sgaw has tone D while the rest has tone A.</par>
529512	O	<par>The SK languages have irregular tone changes, i.e. Sgaw has tone A while Pwo has tone B.</par>
529518	O	<par>S.Sgaw has tone B. Perhaps, the word thwɛ⁵⁵ in S.Pwo was borrowed from S.Sgaw, thwɛ⁵⁵. There is no cognate in N.Pwo.</par>
529527	O	<par>Only Sgaw has tone A while Pwo (SK), NK and CK have tone B.</par>
529530	O	<par>Two protoforms which have tone A (CK, S.Sgaw, Pwo) and tone D (NK, N.Sgaw) can be reconstructed. However, the correspondence of vowels is problematical.</par>
529533	O	<par>It is noticeable that the Chirstian Karen seem to remember the word ‘sheep’ quite well. However, this word has tone A in CK and Sgaw while it has tone B in NK and Pwo.</par>
529543	O	<par>Tone A3 in NK and CK suggests a voiceless onset (*hn-) but tone A12 in Sgaw and tone A1 in Pwo indicate a voiced onset *n-.</par>
529548	O	<par>The correspondence pattern of vowels in SK suggests *-ɛN</par>
529549	O	<par>Bwe has an irregular tone, i.e. tone 11 (D3) instead of tone 33 (A3) as in the other Karenic languages.</par>
529550	O	<par>N. Sgaw has an irregular tone, i.e. tone D, while the rest has tone A.</par>
529556	O	<par>N.Sgaw has tone D while the other Karenic languages have tone B.</par>
529569	O	<par>Sgaw and N.Pwo have irregular vowel, i.e. ɛ instead of e.</par>
529574	O	<par>Pwo vowels are irregular, i.e. ai and ɛi instead of ei.</par>
529575	O	<par>Pwo has tone B3 which suggests a voiced onset *bl-.</par>
529578	O	<par>*hreŋᴬ = thousand (amount of money), *g-thɔNᴬ = thousand (people).</par>
529579	O	<par>*hreŋᴬ = thousand (amount of money), *g-thɔNᴬ = thousand (people).</par>
529585	O	<par>NK has the B tone while CK and SK have tone A.</par>
529589	O	<par>CK has irregular vowels.</par>
529591	O	<par>Pwo has irregular vowels, i.e. ãi instead of ɛ̃ (N.PW) and ɔ̃ (S.PN).</par>
529601	O	<par>It is not certain that the *-a or *-aN rhyme should be reconstructed. S.Pa-O, Sgaw and S.Pwo suggest *-aN while the rest indicates *-a.</par>
529602	O	<par>Bwe has an irregular vowel, i.e. a instead of ɛ.</par>
