rn	type	text
127545	I	<par>Check gloss.</par>
127548	T	<par>This Chantyal form is a borrowing from Nepali <latinform>anuhār</latinform>, <latinform>anwār</latinform> &apos;likeness, appearance, face&apos;. See Turner (1966:16) #342.</par>
127587	I	<par>Nepali loanword?</par>
127594	I	<par>Second syllable <latinform>bɦəri</latinform> is a borrowing from Nepali &apos;full&apos;.</par>
127602	I	<par>cf. Nepali bol- ‘to speak’ </par>
127621	T	<par>A borrowing from Nepali <latinform>ciu̩Do</latinform> &apos;chin&apos;.</par>
127622	T	<par>A borrowing from Nepali <latinform>capāunu</latinform>.</par>
127627	I	<par>all questionable? (alw. w/<latinform>wa</latinform>: rel. to 2108?)</par>
127633	I	<par><emph>te</emph> = <emph>tet</emph> below? Add Division.ja≠te</par>
127636	I	<par>&lt; Nepali karang &apos;rib&apos;.</par>
127638	I	<par>The last two syllables are probably a borrowing from Nepali <latinform>pèmdash ato</latinform> ‘shoulder’ , but if not they could be tagged 570 *ba SHOULDER + 3349 *ta SHOULDER.</par>
127640	T	<par>Chantyal <latinform>-ye</latinform> &apos;GENITIVE&apos;; <latinform>kepal</latinform> &apos;head&apos;, loan from Nepali.</par>
127674	T	<par>possible IA loan, cf. Skt. <emph>muṣṭi-</emph>, Pa. <emph>muṭṭhi-</emph></par>
127723	I	<par>Compare the tagging of this form and #127722.</par>
127730	I	<par>First part = LEG.</par>
127753	I	<par>cf. Nep</par>
127764	I	<par>As Sunwar above; also below to page end.M2: 292? or 66? (THROUGHOUT)</par>
127769	I	<par>Or no division: p + 1382 or 1391??</par>
127771	I	<par>See below next section; also Limbu p. 4.</par>
127773	I	<par>division? 1385??? (or does this belong with prev. record?)</par>
127780	I	<par>division?</par>
127782	I	<par>b = Nepali. cf. nari? BP pfx?</par>
127795	I	<par>“penis” + poss. + Nepali borrowing meaning “skin” .</par>
127796	I	<par>literally “cheek’ s pouch” .</par>
127802	T	<par>Chantyal <latinform>gala</latinform> &apos;cheek&apos;; <latinform>-ye</latinform> GENITIVE. Lit. &quot;vagina&apos;s cheeks&quot;.</par>
127806	I	<par>Last syllable is from Nepali “house” . Are first two syllables “child” plus genetive particle?</par>
127809	I	<par>From Nepali.</par>
127835	I	<par>1392?</par>
127836	I	<par>1392?</par>
