rn	type	text
323795	T	<par>Skt. LOAN</par>
323799	I	<par>&apos;ban&apos; appears in the words for a number of wild animals in Newar.</par>
323805	I	<par>&apos;ban&apos; appears in the words for a number of wild animals in Newar.</par>
323813	T	<par>&lt; Nep. kukhurā?</par>
323816	I	<par>LOAN</par>
323818	T	<par>Nepali loan</par>
323820	I	<par>&apos;ban&apos; appears in the words for a number of wild animals in Newar.</par>
323821	I	<par>Nepali LOAN</par>
323824	T	<par>Nepali LOAN</par>
323825	I	<par>Nepali LOAN</par>
323826	I	<par>Nepali LOAN</par>
323827	T	<par>Skt. LOAN</par>
323828	T	<par>LOAN</par>
323829	T	<par>Skt. LOAN</par>
323831	I	<par>Loan from Indic, cf. Nepali mākuro and mākal.</par>
323832	I	<par>Loan from Indic, cf. Nepali mākuro and mākal.</par>
323833	I	<par>Loan from Indic, cf. Nepali mākuro and mākal.</par>
323843	I	<par>&apos;water&apos; + &apos;cat&apos;</par>
323850	T	<par>Nepali loan.</par>
323853	T	<par>Nepali LOAN</par>
323855	T	<par>LOAN</par>
323865	I	<par>&apos;ban&apos; appears in the words for a number of wild animals in Newar.</par>
323867	I	<par>Nepali loan</par>
323870	T	<par>Skt. LOAN</par>
323871	T	<par>loan.</par>
323878	T	<par>LOAN</par>
323881	T	<par>KPM note: Sanskrit śuka</par>
323882	T	<par>Arabic LOAN</par>
323904	T	<par>KPM note: ???</par>
323906	T	<par>Nepali LOAN</par>
323909	T	<par>Sanskrit loan.</par>
323910	T	<par>Nepali loan<br />KPM note: ka:li</par>
323915	T	<par>(bhõ cal-ai) Nepali LOAN</par>
