rn	type	text
132603	I	<par>Duplicate Entry (?)</par>
132603	I	<par>This was tagged x.</par>
132614	I	<par>Check source and fix.</par>
132616	I	<par>check form.</par>
132627	I	"<par>cf. <xref ref=""5341"">#5341</xref></par>"
132646	I	<par>morph break? Water?</par>
132693	I	<par>First morpheme = LEG.</par>
132694	I	<par>First m = BIRD.</par>
132705	I	<par><latinform>bun</latinform>: cf. Chang 78073below: 1381?</par>
132706	I	<par>or 1387?</par>
132709	I	<par>1107 or 1384? N and N? &amp; 200?</par>
132710	I	<par>BP pfx? M2 = <latinform>lu</latinform> above</par>
132724	I	<par><latinform>-a</latinform> is a citation/imperative suffix in Lotha, not part of the root. <latinform>ngaro</latinform> means &apos;child&apos;.</par>
132734	I	<par>reflex field truncated</par>
