rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	semkey	srcid	src_set_rn	status	analysis
73929	911	Limbu	a- {ᵊ1}	a- {ᵊ1}	INTERROGATIVE	INTERROGATIVE		10.4.2.1		0		
73931	911	Limbu	-a	-a	functor [RHETORICAL]	functor [RHETORICAL]		10.0		0		
73932	911	Limbu	-aᵊ2	-aᵊ2	functor: 1SDP	functor: 1SDP		10.0		0		
73933	911	Limbu	aq lɔkt-	aq lɔkt-	cut in pieces	cut in pieces	v.	6.9.3		0	D1	
73934	911	Limbu	ain	ain	today	today		9.1.3		0		
73935	911	Limbu	aillamba	aillamba	this year	this year		10.4.3.2		0		
73938	911	Limbu	akkhEn	akkhEn	how much	how much		10.1		0		
73939	911	Limbu	akkhoːt	akkhoːt	later	later		9.1.5		0		
73941	911	Limbu	aːks-	aːks-	uproot, pull out	uproot, pull out	v.	3.1.8		0		
73942	911	Limbu	aːŋ	aːŋ	pine	pine		3.1.1		0		
73943	911	Limbu	-aŋ	-aŋ	ADVERBIAL	ADVERBIAL		10.2.1		0		
73944	911	Limbu	aŋka	aŋka	ADVERBIAL	ADVERBIAL		10.2.1		0		
73946	911	Limbu	atti	atti	which	which		10.5.3		0		
73948	911	Limbu	ani	ani	we , our <I>	we , our <I>	incl.	4.1		0		
73949	911	Limbu	anigE	anigE	we (excl.), our <I>	we (excl.), our <I>		4.1		0		
73950	911	Limbu	-aniŋ	-aniŋ	you (2P)	you (2P)		4.1		0		
73951	911	Limbu	antshi	antshi	we (DI), our <I>	we (DI), our <I>		4.1		0		
73952	911	Limbu	antshigE	antshigE	we (DE), our <I>	we (DE), our <I>		4.1		0		
73953	911	Limbu	antshEn	antshEn	we (DE), our <I>	we (DE), our <I>		4.1		0		
73954	911	Limbu	andEn	andEn	we (DE), our <I>	we (DE), our <I>		4.1		0		
73955	911	Limbu	ap teːs-	ap teːs-	throw away	throw away	v.	6.12		0		
73956	911	Limbu	ap	ap	shoot	shoot	v.	6.2.2.1		0		2232
73959	911	Limbu	aphe	aphe	how	how		10.1		0		
73961	911	Limbu	amini	amini	Taplejung	Taplejung				0		
73962	911	Limbu	ambE	ambE	mango	mango				0		
73963	911	Limbu	ampha	ampha	mango	mango				0		
73964	911	Limbu	aːmphu	aːmphu	verandah, front porch	verandah, front porch		1.4.4		0		
73965	911	Limbu	ams-	ams-	warm oneself (at a fire)	warm oneself (at a fire)	v.	7.1.2.3		0		
73967	911	Limbu	alla	alla	now	now		9.1.5		0		
73968	911	Limbu	aːqwa	aːqwa	crow	crow		2.2.4.1		0		
73969	911	Limbu	asaːt	asaːt	who	who		10.5.3		0		
73970	911	Limbu	-asi	-asi	functor: 3P, 1PI	functor: 3P, 1PI		10.0		0		
73972	911	Limbu	asEn	asEn	yesterday	yesterday		9.1.3		0		
73973	911	Limbu	-i	-i	INTERROGATIVE	INTERROGATIVE		10.4.2.1		0		
73974	911	Limbu	i	i	rope, web (of spider)	rope, web (of spider)		2.2.6		0		
73976	911	Limbu	ik	ik	field, land	field, land		3.2.5		0		
73977	911	Limbu	iːkhe	iːkhe	white yam	white yam		9.4		0		x
73978	911	Limbu	iːgɔrɔ	iːgɔrɔ	or else, otherwise	or else, otherwise		10.1		0		
73979	911	Limbu	la ikt-	la ikt-	or else, otherwise	or else, otherwise		10.1		0		
73980	911	Limbu	iːkwa	iːkwa	door, door panel	door, door panel		5.11.9.3		0		
73981	911	Limbu	la iks-	la iks-	door, door panel	door, door panel		5.11.9.3		0		
73982	911	Limbu	iːks-	iːks-	move out of the way	move out of the way	v.	6.7.11		0		
73983	911	Limbu	iŋ	iŋ	news	news				0		
73984	911	Limbu	iŋ-	iŋ-	become known	become known	v.	9.5		0		
73985	911	Limbu	-iŋ	-iŋ	relative through a bond-friend	relative through a bond-friend		4.7.5		0	z	
73986	911	Limbu	i◦ŋga	iŋga	I	I		4.1		0		p,2530
73987	911	Limbu	iŋs-	iŋs-	call (a divinity), to invoke;	call (a divinity), to invoke;	v.	8.5.13		0		
73988	911	Limbu	itshaba	itshaba	child's father-in-law	child's father-in-law		1.5.3.2		0		
73989	911	Limbu	itshama	itshama	child's mother-in-law	child's mother-in-law		1.5.3.2		0		
73991	911	Limbu	ituŋ	ituŋ	snare for birds <trap>	snare for birds <trap>		5.14		0		
73994	911	Limbu	in phoːnd	in phoːnd	call (so.)	call (so.)	v.	8.5.13		0		
73995	911	Limbu	iːnaːnaːba	iːnaːnaːba	tough (of food, clay)	tough (of food, clay)		1.1.5		0		
73996	911	Limbu	iːnd-	iːnd-	mimic, imitate	mimic, imitate	v.	6.2.2.2		0		
73997	911	Limbu	indEn	indEn	before, previously	before, previously		9.1.5		0		
73998	911	Limbu	ipt-	ipt-	put to sleep	put to sleep	v.	6.17		0		127
73999	911	Limbu	iːpt-	iːpt-	screen, block from view	screen, block from view	v.	5.11.9.3		0		
74000	911	Limbu	ips-	ips-	sleep, go to bed	sleep, go to bed	v.	1.1.4.1		0		127
74001	911	Limbu	iːps-	iːps-	press (oil), to churn (butter)	press (oil), to churn (butter)	v.	1.6.4.1		0		
74002	911	Limbu	im-	im-	drown out (noise) <sound>	drown out (noise) <sound>		6.6		0		
74003	911	Limbu	im◦tshɔkwa ta-	imtshɔkwa ta-	nod off to sleep	nod off to sleep	v.	1.2.1		0		127,m,m
74004	911	Limbu	impha	impha	thus, like that, by itself	thus, like that, by itself		10.1		0		
74005	911	Limbu	im mEtt-	im mEtt-	blink, squint	blink, squint	v.	1.2.6.12		0		m,31
74006	911	Limbu	iːwat	iːwat	creeper, vine	creeper, vine		3.1.7		0		
74007	911	Limbu	iːr-	iːr-	turn, go around	turn, go around	v.	6.7.6		0		
74008	911	Limbu	iqr-	iqr-	scratch, rub, scrape	scratch, rub, scrape	v.	1.6.5.5		0		m
74009	911	Limbu	irik	irik	for a long time	for a long time		10.1		0		
74010	911	Limbu	iːs-	iːs-	stir, move in a circle	stir, move in a circle	v.	6.2.2.1		0		
74011	911	Limbu	iːsɔruppa	iːsɔruppa	slipknot, noose	slipknot, noose		5.1		0		
74012	911	Limbu	iːseba	iːseba	fruit	fruit	n.	3.1.5		0		
74013	911	Limbu	iːseqba	iːseqba	fruit	fruit	n.	3.1.5		0		
74014	911	Limbu	uːk-	uːk-	scratch (esp. an itch)	scratch (esp. an itch)	v.	1.6.5.5		0		1458
74015	911	Limbu	uːkt-	uːkt-	roar (of tiger), to thunder	roar (of tiger), to thunder	v.	10.1.1		0		o
74017	911	Limbu	uːkpEppa	uːkpEppa	convex, raised	convex, raised		6.7.7		0		
74018	911	Limbu	uːks-	uːks-	pull, lead on a rope	pull, lead on a rope	v.	6.2.2.3.1		0		
74019	911	Limbu	uŋ◦siŋ jaŋ	uŋ◦siŋ jaŋ	plant	plant	n.	3.1.10		0		m,2658,m
74020	911	Limbu	uːtt-	uːtt-	call	call	v.	8.5.13		0		
74021	911	Limbu	und-	und-	spoil (of seed) <rot>	spoil (of seed) <rot>		9.5		0		
74022	911	Limbu	ums-	ums-	hold in the mouth <suck,eat	hold in the mouth <suck,eat		6.16		0		
74024	911	Limbu	eːk	eːk	back	back		1.4.8		0		214
74025	911	Limbu	eːkaŋ	eːkaŋ	behind	behind		9.2.8		0		
74027	911	Limbu	eːk◦si	eːk◦si	backbone	backbone		1.4.8.2		0		214,m
74028	911	Limbu	eːtt-	eːtt-	defecate on (so.)	defecate on (so.)	v.	1.8.5.4		0		
74029	911	Limbu	eːtt-	eːtt-	laugh at (so.)	laugh at (so.)	v.	1.8.8.1		0		1108
74030	911	Limbu	eːps-	eːps-	press sth. flat, flatten	press sth. flat, flatten	v.	9.5		0		
74031	911	Limbu	eːr- (eːt-)	eːr- (eːt-)	laugh	laugh	v.	1.8.8.1		0		1108,1108
74032	911	Limbu	eːs-	eːs-	defecate	defecate	v.	1.8.5.4		0		
74033	911	Limbu	E	E	here	here		9.2.3		0		5807,m
74034	911	Limbu	Equtan	Equtan	in four days	in four days		10.1.1		0		
74035	911	Limbu	Ek-	Ek-	break in two (of long objects)	break in two (of long objects)	v.	10.1.1		0		
74036	911	Limbu	Ekt-	Ekt-	clean, sort, pick over	clean, sort, pick over	v.	6.10.4		0		
74037	911	Limbu	kiriya Ekt-	kiriya Ekt-	swear (an oath)	swear (an oath)	v.	8.5.1		0		
74039	911	Limbu	EkkhEmdan	EkkhEmdan	in three days	in three days		10.1.1		0		
74040	911	Limbu	Ettshindan	Ettshindan	day after tomorrow	day after tomorrow		1.5.3.2		0		
74041	911	Limbu	Ettshimma	Ettshimma	year after next	year after next		9.1.2		0		
74042	911	Limbu	Ett-	Ett-	lock, bar, close off	lock, bar, close off	v.	1.2.3		0		
74043	911	Limbu	Etnimma	Etnimma	next year	next year		9.9		0		
74044	911	Limbu	Et-	Et-	here	here		9.2.3		0		5807,m
74045	911	Limbu	-Etlam	-Etlam	from	from		10.1.1		0		
74046	911	Limbu	-En	-En	DEFINITE	DEFINITE				0		
74047	911	Limbu	En	En	this, this one	this, this one		10.4.3.2		0		5807,m
74048	911	Limbu	Ept-	Ept-	fan	fan	v.	5.4		0		
74049	911	Limbu	o mu-	o mu-	look	look	v.	1.2.6.11		0		m
74050	911	Limbu	o mEtt-	o mEtt-	look at	look at	v.	1.2.6.11		0		p,31
74051	911	Limbu	oːk	oːk	yes, O.K., right	yes, O.K., right		1.5.3.2		0		
74055	911	Limbu	oqr-	oqr-	inform on so. <tell>	inform on so. <tell>		8.5.14.2		0		
74058	911	Limbu	ɔgɔŋ	ɔgɔŋ	river	river		3.2.3		0		
74059	911	Limbu	ɔkkhum	ɔkkhum	river	river		3.2.3		0		
74060	911	Limbu	ɔkkhrɔːnda(ma)	ɔkkhrɔːnda(ma)	castor bean	castor bean		3.1.4		0		
74061	911	Limbu	ɔːkt-	ɔːkt-	shout, cry out	shout, cry out	v.	8.5.4.1		0		
74062	911	Limbu	ɔks-	ɔks-	pull off, pull loose	pull off, pull loose	v.	6.2.2.3.1		0		
74063	911	Limbu	ɔŋ-	ɔŋ-	lay off work <stop>	lay off work <stop>		6.17		0		
74064	911	Limbu	ɔŋEk	ɔŋEk	slowly	slowly		9.1.1		0		
74067	911	Limbu	ɔŋEːkwa	ɔŋEːkwa	baby	baby		4.2.11		0		
74068	911	Limbu	ɔttshaq	ɔttshaq	milled rice	milled rice		3.1.10		0		
74069	911	Limbu	ɔthiŋ(g)reŋba	ɔthiŋ(g)reŋba	cockroach	cockroach		2.2.6		0		
74070	911	Limbu	ɔn	ɔn	horse	horse		2.1.7		0		r
74072	911	Limbu	ɔndhyakma	ɔndhyakma	tree, a near-chestnut	tree, a near-chestnut	n.	3.1.2		0		
74073	911	Limbu	ɔp'ritma	ɔp'ritma	wet, soaked	wet, soaked		6.6		0		
74074	911	Limbu	ɔmdaŋba	ɔmdaŋba	yellow	yellow		9.4		0		
74075	911	Limbu	ɔqwanama	ɔqwanama	main pillar of house	main pillar of house		7.1.7.1		0		
74077	911	Limbu	ɔ◦ruk◦lup◦pa	ɔ◦ruk◦lup◦pa	fat (of meat)	fat (of meat)		1.6.4		0		p,m,1447,s
74078	911	Limbu	ɔruk◦siŋ◦ma	ɔruk◦siŋ◦ma	maple	maple	n.	3.1.1		0		m,2658,m
74079	911	Limbu	ɔrɔk=	ɔrɔk=	maple	maple	n.	3.1.1		0		
74080	911	Limbu	ɔːs-	ɔːs-	spit out	spit out	v.	1.8.3		0		
74081	911	Limbu	ɔseːk	ɔseːk	snake	snake		2.1.6.1		0		
74082	911	Limbu	ɔhɔŋ	ɔhɔŋ	small stream, gulley <river>	small stream, gulley <river>		3.2.3		0		
74083	911	Limbu	kak	kak	all	all		9.9		0		
74084	911	Limbu	kak-	kak-	crack	crack (v.i.)	v.i.	3.2.7		0		
74085	911	Limbu	kakpEppa	kakpEppa	spherical <round>	spherical <round>		9.7.1		0		
74086	911	Limbu	kakma	kakma	ball	ball		9.7.1		0		
74087	911	Limbu	kaːkt-	kaːkt-	jump, to step (over sth)	jump, to step (over sth)	v.	6.7.8		0		
74088	911	Limbu	kakrikna	kakrikna	millet (variety of Eleusine)	millet (variety of Eleusine)		1.5.3.2		0		
74089	911	Limbu	kaːkrakma	kaːkrakma	citrus fruit	citrus fruit	n.	3.1.5		0		
74091	911	Limbu	kaks-	kaks-	crack sthg.	crack sthg. (v.t.)	v.t.	3.2.7		0		
74095	911	Limbu	kaːŋpha	kaːŋpha	bamboo ridge-pole of a house	bamboo ridge-pole of a house		3.1.1		0		
74096	911	Limbu	kaŋsɔrumma	kaŋsɔrumma	fourth female of a sib <sister	fourth female of a sib <sister		9.9		0		
74097	911	Limbu	kaːŋ thuŋma	kaːŋ thuŋma	creeper	creeper	n.	3.1.7		0		
74100	911	Limbu	kattEkwa	kattEkwa	fern	fern		3.1.1		0		
74101	911	Limbu	kanajɔŋba	kanajɔŋba	fern	fern		3.1.1		0		
74103	911	Limbu	kandEn	kandEn	tree	tree	n.	3.1.2		0		
74104	911	Limbu	kaːndja	kaːndja	bamboo container for liquids	bamboo container for liquids	n.	3.1.1		0		
74106	911	Limbu	kappo	kappo	old man	old man		7.1.8.3		0		
74107	911	Limbu	kapmu	kapmu	old woman	old woman		7.1.8.3		0		
74108	911	Limbu	kapsaːba	kapsaːba	twin (male)	twin (male)		4.7.2		0		
74109	911	Limbu	kapsaːma	kapsaːma	twin (female)	twin (female)		4.7.2		0		
74113	911	Limbu	kaqr-	kaqr-	break, crack, chip	break, crack, chip	v.	3.2.7		0		
74115	911	Limbu	kaːs-	kaːs-	crow (of cock)	crow (of cock)	v.	2.2.4.1		0		
74116	911	Limbu	kiaːr-	kiaːr-	crow (of cock)	crow (of cock)	v.	2.2.4.1		0		
74118	911	Limbu	kikkrɔkna	kikkrɔkna	bird	bird	n.	2.2.4		0		
74119	911	Limbu	kikt-	kikt-	shrink, to wither <dry>	shrink, to wither <dry>		9.5		0		
74121	911	Limbu	kiːtthi	kiːtthi	marten (?)	marten (?)		2.2.7		0		
74124	911	Limbu	kiːnduaba	kiːnduaba	horsefly	horsefly		2.2.6		0		
74126	911	Limbu	kir- (kit-)	kir- (kit-)	frighten <fear>	frighten <fear>		8.3.1.10.1		0		
74127	911	Limbu	kiqr-	kiqr-	become tired (esp. of limbs)	become tired (esp. of limbs)	v.	9.5		0		
74128	911	Limbu	kiːr- (ki-)	kiːr- (ki-)	rot (e.g. of meat)	rot (e.g. of meat)	v.	3.1.10		0		m
74129	911	Limbu	kir- (kit-)	kir- (kit-)	frighten	frighten	v.	8.3.1.10.1		0		
74130	911	Limbu	kiːs-	kiːs-	afraid <fear>	afraid <fear>		7.1.1		0		
74131	911	Limbu	ku-	ku-	his <he>	his <he>		4.1		0		
74132	911	Limbu	ku-	ku-	carry (on the back)	carry (on the back)	v.	6.2.2.2.1		0		
74133	911	Limbu	kuks-	kuks-	swell	swell	v.,?	1.1.5.2		0		
74134	911	Limbu	kukhɔŋwEt	kukhɔŋwEt	unripe <green>	unripe <green>		3.1.10		0		
74135	911	Limbu	kupt-	kupt-	sleep together	sleep together	v.	1.1.4.1		0		x
74136	911	Limbu	ku-phimba	ku-phimba	measure of about five pounds	measure of about five pounds	n.	9.8		0		
74137	911	Limbu	ku-phErEk	ku-phErEk	half	half		9.8		0		
74140	911	Limbu	ku-maŋwa	ku-maŋwa	raw, uncooked	raw, uncooked		7.1.8.3		0		
74141	911	Limbu	kumba	kumba	raw, uncooked	raw, uncooked		7.1.8.3		0		
74142	911	Limbu	kumb'ikwa	kumb'ikwa	male	male	(of pl	1.9.6.1		0		m
74143	911	Limbu	kumm'ikwa	kumm'ikwa	female	female	(of pl	1.9.3		0		m
74144	911	Limbu	ku-jam	ku-jam	time (to do something)	time (to do something)		9.1.5		0		
74145	911	Limbu	kuliŋma	kuliŋma	earthen jar	earthen jar	n.	3.2.11		0		
74146	911	Limbu	kulEm	kulEm	level (of a measure)	level (of a measure)		7.1.5.4		0		
74147	911	Limbu	kullEːm	kullEːm	plenty, much	plenty, much		8.1		0		
74148	911	Limbu	ku-wa	ku-wa	juice, sap <water>	juice, sap <water>		3.1.6.3		0		
74151	911	Limbu	ku-siŋ niːtt-	ku-siŋ niːtt-	understand <know>	understand <know>		8.3.1.13.1		0	D1	
74152	911	Limbu	ku-sum	ku-sum	utility	utility		6.2		0		
74153	911	Limbu	ku-sem nis-	ku-sem nis-	recognize, know	recognize, know	v.	8.3.1.13.1		0		
74154	911	Limbu	ku-sɔŋ	ku-sɔŋ	new	new		9.6.1.1		0		
74155	911	Limbu	ku-hiŋ◦wEt	ku-hiŋ◦wEt	alive	alive		1.1.2.1		0		m,71,3482
74157	911	Limbu	kE-	kE-	your	your		4.1		0		
74158	911	Limbu	keːkka pu	keːkka pu	parrot	parrot		2.2.4.1		0		
74161	911	Limbu	keːŋ	keːŋ	tooth (canine) / tusk	tooth (canine) /  tusk		1.3.4		0		637
74162	911	Limbu	keːŋ-	keːŋ-	fall	fall	v.	6.1.1.4.2		0		
74163	911	Limbu	keːŋs-	keːŋs-	cause to fall	cause to fall	v.	8.2		0		
74164	911	Limbu	keːtt-	keːtt-	insert, put away, store	insert, put away, store	v.	6.2		0		
74166	911	Limbu	keː◦ba	keː◦ba	tiger	tiger		2.1.3		0		2308,s
74168	911	Limbu	kEllik	kEllik	far	far		9.2.4		0		
74169	911	Limbu	kEkphEk	kEkphEk	plant	plant	n.	3.1.10		0		
74170	911	Limbu	kEŋ	kEŋ	beside, next to, on the hip	beside, next to, on the hip		10.1.1		0		
74172	911	Limbu	kEːba	kEːba	mute, cretin	mute, cretin		1.5.3.2		0		
74173	911	Limbu	kEmt-	kEmt-	hold down	hold down	v.	6.16		0		
74174	911	Limbu	kEr- (kEt-)	kEr- (kEt-)	arrive	arrive	v.	6.7.1		0		
74175	911	Limbu	kErEk	kErEk	all	all		9.9		0		
