rn	lgid	language	reflex	originalreflex	gloss	originalgloss	gfn	originalgfn	semkey	srcid	src_set_rn	maintainer	status	analysis
1	1037	Meithei	plet	plet	plate	plate			5.5		0			bEnglish
2	1037	Meithei	bruɟə	bruɟə	brush	brush			5.11.8.4		0		D1	
3	1037	Meithei	briɟ	briɟ	semen	semen					0			b
5	1037	Meithei	treta	treta	age	age	n.	n.	9.1.2		0			
6	1037	Meithei	dwarkə	dwarkə	name of a sacred place	name of a sacred place			5.8		0			
7	1037	Meithei	drəm	drəm	drum	drum			5.1		0			b
8	1037	Meithei	dʰyan	dʰyan	meditation	meditation			8.3.1.15		0			b
9	1037	Meithei	dʰrubə	dʰrubə	pole star	pole star			9.7.1		0			
10	1037	Meithei	crəp	crəp	sound of cutting cloth	sound of cutting cloth			9.3		0			
11	1037	Meithei	ɟwal	ɟwal	yoke	yoke			5.14		0			
12	1037	Meithei	ɟro	ɟro	sound of water fall	sound of water fall			9.3		0			
13	1037	Meithei	dyamgəy	dyamgəy	name of a village	name of a village			5.8		0			
14	1037	Meithei	kwak	kwak	crow	crow			2.2.4.1		0		D1	
15	1037	Meithei	krisnə	krisnə	Lord Krishna	Lord Krishna			4.2.5		0			bIndic
16	1037	Meithei	krok	krok	attachment	attachment			6.13.3		0			
17	1037	Meithei	klas	klas	class	class			10.1.3		0			bEnglish
18	1037	Meithei	kʰyaw	kʰyaw	quickly	quickly			9.1.1		0			
19	1037	Meithei	kʰwaŋ	kʰwaŋ	waist	waist			1.4.6		0			219
20	1037	Meithei	kʰristə	kʰristə	Christ	Christ			5.8.2.3		0			b
21	1037	Meithei	gyan	gyan	consciousness	consciousness			1.1.4		0			b
22	1037	Meithei	gram	gram	metric gram	metric gram			9.8		0			bEnglish
23	1037	Meithei	glas	glas	glass	glass			5.11		0			bEnglish
24	1037	Meithei	hyaŋeŋ	hyaŋeŋ	August	August			9.1.2		0			
25	1037	Meithei	swamɟi	swamɟi	preceptor	preceptor			4.2.2		0			b
26	1037	Meithei	slet	slet	slate (for writing)	slate (for writing)			3.2.9		0			b
27	1037	Meithei	ŋyaw	ŋyaw	mewing	mewing			9.3		0			
28	1037	Meithei	ŋraŋ	ŋraŋ	yesterday	yesterday			9.1.3		0			
