rn	type	text
30581	I	<par>1321?</par>
30582	I	<par>BP pfx? 227 (JAM) or 228 (or 181?)</par>
30595	I	<par>verify the form</par>
30597	I	<par>should the paren’ s be removed? Was <latinform>bî</latinform>. Written in DL as <latinform>pɛ</latinform>.</par>
30616	I	<par>is the complete entry in the db?</par>
30638	I	<par>cf. <latinform>cak</latinform> “scratch off” ?</par>
30673	I	<par>BP pfx?; thw=as above Lolopho 15863</par>
30674	I	<par>ø = BP pfx?</par>
30707	I	<par>Note the semantics of this compound: EYE + NOSE = FACE.</par>
30707	I	<par>Note the semantics of this compound: EYE + NOSE.</par>
30707	I	<par>Note the semantics of this compound: EYE + NOSE = FACE.</par>
30707	I	<par>Note the semantics of this compound: EYE + NOSE.</par>
30738	T	<par>This form is originally from Nishida 1964-66:415.</par>
30782	T	<par>WB <latinform>hŋak-pyaw-sî</latinform> has been interpreted as &quot;bird-happy-fruit&quot;, although this is very likely a folk etymology (cf. WB <latinform>hŋak</latinform>).</par>
30796	I	<par>BP pfx? or 229? M2: 315 or 2102?</par>
30797	I	<par>BP pfx? or reduced from 315? M2: 315 or 2102?</par>
30859	I	<par>not 42?</par>
30906	I	<par>PLB *-nasal&gt;-stop (like &apos;wood&apos;, etc.)</par>
30919	I	<par>?</par>
