rn	type	text
14899	I	<par>Could the last syllable <latinform>dze³³</latinform> be ‘joint’ ?</par>
14965	I	<par>(BP pfx?) or (prob.) as <latinform>da³¹</latinform> below.</par>
14969	I	<par>(BP pfx?--but see above and below) 2113 for M2? See previous record</par>
14970	I	<par>as above</par>
14971	I	<par>or 315? or 2103? or 311?</par>
14972	I	<par>M2: rel. <latinform>bu</latinform>? 2103?</par>
14973	I	<par>Rel. to <latinform>da</latinform>£¡ above, or BP pfx? M2: or 315 or 2103 or 311?</par>
14974	I	<par>M1: or 2123? M2: or 2111? or 2102?</par>
14975	I	<par>M2: 181? or 2123. M3:2103 or 2111?</par>
14976	I	<par>M1: rel. to <latinform>dei</latinform> etc. above? M2: 182 or 2123? M3: or 2111?</par>
14977	I	<par>M1: 181 or 2123? M2: or 2111?</par>
15006	I	<par>First morph = SHEEP</par>
15010	I	<par>cf. FISH?</par>
15037	I	<par>compare first syll with Lisu form for ‘full’ .</par>
15059	I	<par>M1 = EAT?</par>
15100	I	<par>morphemic analysis?</par>
15121	T	<par>The first element <latinform>di̱⁵⁵</latinform> must be the verb, since Karen is a VO language.</par>
15152	T	<par>Karen <latinform>bø³¹</latinform> probably &lt; <latinform>*m-</latinform> prefix.</par>
