rn	type	text
43148	T	<par>This form is found on Qiangyu Jianzhi p. 38. Jackson Sun’s Mawo consultant does not recognize this form; for him, <latinform>ʂə-z</latinform> means ‘canine tooth’; <latinform>dzə</latinform> ‘fang’. On Sun Hongkai’s own body part sheets, he gives the Mawo form <latinform>ʂə-zdi</latinform> instead of <latinform>ʂə-z</latinform>.</par>
43163	I	<par>retroflex s = r?? or pfx? note full <latinform>lu:</latinform> 1381?<latinform> </latinform></par>
43175	I	<par>M1: Cf. <latinform>dei</latinform> ? or cf. <latinform>tə</latinform><latinform> </latinform> pfx? M2: 2102?</par>
43176	I	<par>M1: 574? M2: 2118?</par>
43180	I	<par>Or 293? (tsu) M2: b or s?</par>
43190	I	<par>=pus+blood, cf. Chinese nong-xie; Jingpo sai matsui.</par>
43202	I	<par>Cf. KomRem <latinform>rəki</latinform>.</par>
43252	T	<par>Cf. Hani <latinform>de³¹</latinform>.</par>
43268	I	<par>What is P4?</par>
43312	I	<par>note <latinform>lo</latinform></par>
43321	I	<par>M2: cf. <latinform>stə</latinform>?</par>
43323	I	<par>574?</par>
43328	I	<par>Or 293? (tsu)</par>
43339	I	<par>=pus+blood, cf. Chinese nong-xie; Jingpo sai matsui.</par>
